 epoch: 0, train_loss: 1.3035, test_loss: 1.3200, test_f1: 0.2248
 epoch: 1, train_loss: 1.2788, test_loss: 1.3118, test_f1: 0.2545
 epoch: 2, train_loss: 1.2536, test_loss: 1.3029, test_f1: 0.2630
 epoch: 3, train_loss: 1.2175, test_loss: 1.2951, test_f1: 0.2734
 epoch: 4, train_loss: 1.1828, test_loss: 1.2755, test_f1: 0.3180
 epoch: 5, train_loss: 1.1510, test_loss: 1.2579, test_f1: 0.3424
 epoch: 6, train_loss: 1.1062, test_loss: 1.1758, test_f1: 0.4428
 epoch: 7, train_loss: 1.0657, test_loss: 1.3273, test_f1: 0.3232
 epoch: 8, train_loss: 1.0357, test_loss: 1.1090, test_f1: 0.4455
 epoch: 9, train_loss: 1.0106, test_loss: 1.1228, test_f1: 0.4488
 epoch: 10, train_loss: 0.9873, test_loss: 1.0777, test_f1: 0.4534
 epoch: 11, train_loss: 0.9685, test_loss: 1.0700, test_f1: 0.4746
 epoch: 12, train_loss: 0.9542, test_loss: 1.0956, test_f1: 0.4664
 epoch: 13, train_loss: 0.9434, test_loss: 1.0658, test_f1: 0.4714
 epoch: 14, train_loss: 0.9334, test_loss: 1.0899, test_f1: 0.4702
 epoch: 15, train_loss: 0.9286, test_loss: 1.0803, test_f1: 0.4558
 epoch: 16, train_loss: 0.9154, test_loss: 1.1356, test_f1: 0.4394
 epoch: 17, train_loss: 0.9212, test_loss: 1.1153, test_f1: 0.4483
 epoch: 18, train_loss: 0.9213, test_loss: 1.0578, test_f1: 0.4594
 epoch: 19, train_loss: 0.8985, test_loss: 1.1068, test_f1: 0.4476
 epoch: 20, train_loss: 0.8924, test_loss: 1.0550, test_f1: 0.4684
 epoch: 21, train_loss: 0.8783, test_loss: 1.0723, test_f1: 0.4723
 epoch: 22, train_loss: 0.8659, test_loss: 1.0589, test_f1: 0.4903
 epoch: 23, train_loss: 0.8470, test_loss: 1.0529, test_f1: 0.5513
 epoch: 24, train_loss: 0.8347, test_loss: 1.0278, test_f1: 0.5361
 epoch: 25, train_loss: 0.8257, test_loss: 1.0450, test_f1: 0.5718
 epoch: 26, train_loss: 0.8212, test_loss: 1.0485, test_f1: 0.5598
 epoch: 27, train_loss: 0.8110, test_loss: 1.0507, test_f1: 0.5496
 epoch: 28, train_loss: 0.7926, test_loss: 1.0339, test_f1: 0.5663
 epoch: 29, train_loss: 0.7795, test_loss: 1.0391, test_f1: 0.5601
 epoch: 30, train_loss: 0.7647, test_loss: 1.0418, test_f1: 0.6015
 epoch: 31, train_loss: 0.7772, test_loss: 1.0482, test_f1: 0.5619
 epoch: 32, train_loss: 0.7563, test_loss: 0.9932, test_f1: 0.5682
 epoch: 33, train_loss: 0.7363, test_loss: 1.0313, test_f1: 0.5957
 epoch: 34, train_loss: 0.7514, test_loss: 1.0218, test_f1: 0.5369
 epoch: 35, train_loss: 0.7255, test_loss: 0.9880, test_f1: 0.5433
 epoch: 36, train_loss: 0.7206, test_loss: 1.0625, test_f1: 0.5645
 epoch: 37, train_loss: 0.7322, test_loss: 1.0945, test_f1: 0.5134
 epoch: 38, train_loss: 0.7380, test_loss: 1.0202, test_f1: 0.5950
 epoch: 39, train_loss: 0.7051, test_loss: 1.0281, test_f1: 0.5378
 epoch: 40, train_loss: 0.6928, test_loss: 1.0476, test_f1: 0.5594
 epoch: 41, train_loss: 0.6783, test_loss: 1.0689, test_f1: 0.5414
 epoch: 42, train_loss: 0.6754, test_loss: 1.0595, test_f1: 0.5391
 epoch: 43, train_loss: 0.6730, test_loss: 1.0437, test_f1: 0.5579
 epoch: 44, train_loss: 0.6772, test_loss: 1.0080, test_f1: 0.5655
 epoch: 45, train_loss: 0.6739, test_loss: 1.0736, test_f1: 0.5277
 epoch: 46, train_loss: 0.6691, test_loss: 1.1153, test_f1: 0.5347
 epoch: 47, train_loss: 0.6694, test_loss: 1.2845, test_f1: 0.5023
 epoch: 48, train_loss: 0.6573, test_loss: 1.1556, test_f1: 0.5206
 epoch: 49, train_loss: 0.6514, test_loss: 1.0657, test_f1: 0.5668
 epoch: 50, train_loss: 0.6505, test_loss: 1.1293, test_f1: 0.5640
 epoch: 51, train_loss: 0.6536, test_loss: 1.0932, test_f1: 0.5371
 epoch: 52, train_loss: 0.6264, test_loss: 1.1280, test_f1: 0.5358
 epoch: 53, train_loss: 0.6189, test_loss: 1.1063, test_f1: 0.5336
 epoch: 54, train_loss: 0.6153, test_loss: 1.1517, test_f1: 0.5160
 epoch: 55, train_loss: 0.6149, test_loss: 1.1592, test_f1: 0.5090
 epoch: 56, train_loss: 0.6144, test_loss: 1.1095, test_f1: 0.5399
 epoch: 57, train_loss: 0.6044, test_loss: 1.1727, test_f1: 0.5401
 epoch: 58, train_loss: 0.5923, test_loss: 1.1132, test_f1: 0.5599
 epoch: 59, train_loss: 0.5952, test_loss: 1.1414, test_f1: 0.5388
 epoch: 60, train_loss: 0.5913, test_loss: 1.2087, test_f1: 0.5310
 epoch: 61, train_loss: 0.5952, test_loss: 1.1909, test_f1: 0.5473
 epoch: 62, train_loss: 0.5916, test_loss: 1.2065, test_f1: 0.5538
 epoch: 63, train_loss: 0.5958, test_loss: 1.1955, test_f1: 0.5541
 epoch: 64, train_loss: 0.5923, test_loss: 1.1460, test_f1: 0.5678
 epoch: 65, train_loss: 0.5918, test_loss: 1.2735, test_f1: 0.5223
 epoch: 66, train_loss: 0.5871, test_loss: 1.2587, test_f1: 0.5253
 epoch: 67, train_loss: 0.5986, test_loss: 1.1643, test_f1: 0.5397
 epoch: 68, train_loss: 0.5848, test_loss: 1.2204, test_f1: 0.5152
 epoch: 69, train_loss: 0.5756, test_loss: 1.2244, test_f1: 0.5535
 epoch: 70, train_loss: 0.5964, test_loss: 1.1756, test_f1: 0.5337
 epoch: 71, train_loss: 0.5867, test_loss: 1.1571, test_f1: 0.5304
 epoch: 72, train_loss: 0.6028, test_loss: 1.1881, test_f1: 0.5463
 epoch: 73, train_loss: 0.5862, test_loss: 1.2055, test_f1: 0.5109
 epoch: 74, train_loss: 0.5694, test_loss: 1.1814, test_f1: 0.5574
 epoch: 75, train_loss: 0.5681, test_loss: 1.1931, test_f1: 0.5392
 epoch: 76, train_loss: 0.5801, test_loss: 1.2065, test_f1: 0.5715
 epoch: 77, train_loss: 0.5891, test_loss: 1.2493, test_f1: 0.5398
 epoch: 78, train_loss: 0.5836, test_loss: 1.2157, test_f1: 0.5460
 epoch: 79, train_loss: 0.5892, test_loss: 1.2060, test_f1: 0.5873
 epoch: 80, train_loss: 0.5701, test_loss: 1.1999, test_f1: 0.5806
 epoch: 81, train_loss: 0.5713, test_loss: 1.1472, test_f1: 0.5867
 epoch: 82, train_loss: 0.5780, test_loss: 1.2122, test_f1: 0.6036
 epoch: 83, train_loss: 0.5580, test_loss: 1.1640, test_f1: 0.6058
 epoch: 84, train_loss: 0.5614, test_loss: 1.2375, test_f1: 0.5926
 epoch: 85, train_loss: 0.5616, test_loss: 1.2058, test_f1: 0.5615
 epoch: 86, train_loss: 0.5591, test_loss: 1.3140, test_f1: 0.5399
 epoch: 87, train_loss: 0.5624, test_loss: 1.2504, test_f1: 0.5353
 epoch: 88, train_loss: 0.5688, test_loss: 1.3565, test_f1: 0.5403
 epoch: 89, train_loss: 0.5800, test_loss: 1.1575, test_f1: 0.5730
 epoch: 90, train_loss: 0.5715, test_loss: 1.2923, test_f1: 0.5560
 epoch: 91, train_loss: 0.5608, test_loss: 1.2375, test_f1: 0.5480
 epoch: 92, train_loss: 0.5697, test_loss: 1.2505, test_f1: 0.6056
 epoch: 93, train_loss: 0.5617, test_loss: 1.2849, test_f1: 0.5617
 epoch: 94, train_loss: 0.5435, test_loss: 1.2565, test_f1: 0.5504
 epoch: 95, train_loss: 0.5493, test_loss: 1.3069, test_f1: 0.5553
 epoch: 96, train_loss: 0.5377, test_loss: 1.3698, test_f1: 0.5310
 epoch: 97, train_loss: 0.5472, test_loss: 1.3347, test_f1: 0.5306
 epoch: 98, train_loss: 0.5486, test_loss: 1.3346, test_f1: 0.5694
 epoch: 99, train_loss: 0.5513, test_loss: 1.1974, test_f1: 0.5565
 epoch: 0, train_loss: 1.2329, test_loss: 1.2986, test_f1: 0.2281
 epoch: 1, train_loss: 1.1574, test_loss: 1.2917, test_f1: 0.2281
 epoch: 2, train_loss: 1.1086, test_loss: 1.2303, test_f1: 0.2583
 epoch: 3, train_loss: 1.0569, test_loss: 1.1564, test_f1: 0.3703
 epoch: 4, train_loss: 1.0083, test_loss: 1.1028, test_f1: 0.4253
 epoch: 5, train_loss: 0.9834, test_loss: 1.0802, test_f1: 0.4497
 epoch: 6, train_loss: 0.9434, test_loss: 1.0680, test_f1: 0.5165
 epoch: 7, train_loss: 0.9288, test_loss: 1.0329, test_f1: 0.5075
 epoch: 8, train_loss: 0.8969, test_loss: 1.0805, test_f1: 0.5229
 epoch: 9, train_loss: 0.8772, test_loss: 1.0211, test_f1: 0.5297
 epoch: 10, train_loss: 0.8649, test_loss: 0.9985, test_f1: 0.5208
 epoch: 11, train_loss: 0.8446, test_loss: 1.0237, test_f1: 0.5291
 epoch: 12, train_loss: 0.8242, test_loss: 1.0186, test_f1: 0.5258
 epoch: 13, train_loss: 0.8003, test_loss: 1.0081, test_f1: 0.5513
 epoch: 14, train_loss: 0.7970, test_loss: 0.9755, test_f1: 0.5754
 epoch: 15, train_loss: 0.7722, test_loss: 0.9878, test_f1: 0.5470
 epoch: 16, train_loss: 0.7601, test_loss: 0.9959, test_f1: 0.5790
 epoch: 17, train_loss: 0.7764, test_loss: 0.9909, test_f1: 0.5896
 epoch: 18, train_loss: 0.7460, test_loss: 1.0198, test_f1: 0.5530
 epoch: 19, train_loss: 0.7045, test_loss: 1.0953, test_f1: 0.5463
 epoch: 20, train_loss: 0.7063, test_loss: 0.9712, test_f1: 0.5630
 epoch: 21, train_loss: 0.6746, test_loss: 1.0374, test_f1: 0.5913
 epoch: 22, train_loss: 0.6913, test_loss: 1.1831, test_f1: 0.5325
 epoch: 23, train_loss: 0.6946, test_loss: 1.0722, test_f1: 0.5531
