 epoch: 0, train_loss: 1.3419, test_loss: 1.3365, test_f1: 0.3085
 epoch: 1, train_loss: 1.2577, test_loss: 1.3274, test_f1: 0.3511
 epoch: 2, train_loss: 1.2117, test_loss: 1.3065, test_f1: 0.3339
 epoch: 3, train_loss: 1.2058, test_loss: 1.2921, test_f1: 0.3281
 epoch: 4, train_loss: 1.1927, test_loss: 1.2895, test_f1: 0.3556
 epoch: 5, train_loss: 1.1861, test_loss: 1.2813, test_f1: 0.3267
 epoch: 6, train_loss: 1.1776, test_loss: 1.2834, test_f1: 0.3475
 epoch: 7, train_loss: 1.1647, test_loss: 1.2747, test_f1: 0.3423
 epoch: 8, train_loss: 1.1553, test_loss: 1.2474, test_f1: 0.3512
 epoch: 9, train_loss: 1.1437, test_loss: 1.2397, test_f1: 0.3256
 epoch: 10, train_loss: 1.1340, test_loss: 1.2310, test_f1: 0.3330
 epoch: 11, train_loss: 1.1298, test_loss: 1.2458, test_f1: 0.3320
 epoch: 12, train_loss: 1.1211, test_loss: 1.2422, test_f1: 0.3388
 epoch: 13, train_loss: 1.1180, test_loss: 1.2416, test_f1: 0.4112
 epoch: 14, train_loss: 1.1034, test_loss: 1.2484, test_f1: 0.4244
 epoch: 15, train_loss: 1.0817, test_loss: 1.2032, test_f1: 0.4073
 epoch: 16, train_loss: 1.0752, test_loss: 1.2641, test_f1: 0.4372
 epoch: 17, train_loss: 1.0655, test_loss: 1.2220, test_f1: 0.4312
 epoch: 18, train_loss: 1.0748, test_loss: 1.1933, test_f1: 0.4826
 epoch: 19, train_loss: 1.0628, test_loss: 1.2657, test_f1: 0.4311
 epoch: 20, train_loss: 1.0458, test_loss: 1.1914, test_f1: 0.5027
 epoch: 21, train_loss: 1.0369, test_loss: 1.2131, test_f1: 0.5172
 epoch: 22, train_loss: 1.0235, test_loss: 1.1840, test_f1: 0.4506
 epoch: 23, train_loss: 1.0196, test_loss: 1.1710, test_f1: 0.5143
 epoch: 24, train_loss: 1.0180, test_loss: 1.1597, test_f1: 0.5066
 epoch: 25, train_loss: 1.0048, test_loss: 1.1822, test_f1: 0.4951
 epoch: 26, train_loss: 1.0031, test_loss: 1.1601, test_f1: 0.4731
 epoch: 27, train_loss: 0.9928, test_loss: 1.2085, test_f1: 0.4895
 epoch: 28, train_loss: 0.9788, test_loss: 1.1325, test_f1: 0.5106
 epoch: 29, train_loss: 0.9750, test_loss: 1.2100, test_f1: 0.5081
 epoch: 30, train_loss: 0.9782, test_loss: 1.1380, test_f1: 0.5189
 epoch: 31, train_loss: 0.9782, test_loss: 1.1818, test_f1: 0.4947
 epoch: 32, train_loss: 0.9820, test_loss: 1.2247, test_f1: 0.4491
 epoch: 33, train_loss: 0.9699, test_loss: 1.1287, test_f1: 0.5550
 epoch: 34, train_loss: 0.9472, test_loss: 1.1614, test_f1: 0.5204
 epoch: 35, train_loss: 0.9233, test_loss: 1.1981, test_f1: 0.4962
 epoch: 36, train_loss: 0.9506, test_loss: 1.1854, test_f1: 0.5151
 epoch: 37, train_loss: 0.9362, test_loss: 1.1528, test_f1: 0.5166
 epoch: 38, train_loss: 0.9272, test_loss: 1.1861, test_f1: 0.5380
 epoch: 39, train_loss: 0.9252, test_loss: 1.1651, test_f1: 0.5051
 epoch: 40, train_loss: 0.9188, test_loss: 1.2120, test_f1: 0.5092
 epoch: 41, train_loss: 0.8862, test_loss: 1.1680, test_f1: 0.5126
 epoch: 42, train_loss: 0.9006, test_loss: 1.1786, test_f1: 0.5240
 epoch: 43, train_loss: 0.8880, test_loss: 1.2715, test_f1: 0.5339
 epoch: 44, train_loss: 0.8752, test_loss: 1.1301, test_f1: 0.5791
 epoch: 45, train_loss: 0.8687, test_loss: 1.2512, test_f1: 0.5071
 epoch: 46, train_loss: 0.8611, test_loss: 1.1782, test_f1: 0.5327
 epoch: 47, train_loss: 0.8617, test_loss: 1.2211, test_f1: 0.5293
 epoch: 48, train_loss: 0.8410, test_loss: 1.2077, test_f1: 0.5076
 epoch: 49, train_loss: 0.8456, test_loss: 1.2202, test_f1: 0.5162
 epoch: 50, train_loss: 0.8407, test_loss: 1.2927, test_f1: 0.5250
 epoch: 51, train_loss: 0.8207, test_loss: 1.2910, test_f1: 0.5375
 epoch: 52, train_loss: 0.8309, test_loss: 1.2297, test_f1: 0.5659
 epoch: 53, train_loss: 0.8100, test_loss: 1.2918, test_f1: 0.5499
 epoch: 54, train_loss: 0.8039, test_loss: 1.3091, test_f1: 0.5343
 epoch: 55, train_loss: 0.7840, test_loss: 1.2726, test_f1: 0.5316
 epoch: 56, train_loss: 0.7953, test_loss: 1.2377, test_f1: 0.5731
 epoch: 57, train_loss: 0.8161, test_loss: 1.1951, test_f1: 0.5187
 epoch: 58, train_loss: 0.7933, test_loss: 1.2365, test_f1: 0.5579
 epoch: 59, train_loss: 0.7825, test_loss: 1.2612, test_f1: 0.5613
 epoch: 60, train_loss: 0.7810, test_loss: 1.3477, test_f1: 0.5242
 epoch: 61, train_loss: 0.7950, test_loss: 1.2058, test_f1: 0.5426
 epoch: 62, train_loss: 0.7965, test_loss: 1.3031, test_f1: 0.5521
 epoch: 63, train_loss: 0.7852, test_loss: 1.3329, test_f1: 0.5440
 epoch: 64, train_loss: 0.7878, test_loss: 1.2664, test_f1: 0.5554
 epoch: 65, train_loss: 0.7843, test_loss: 1.2884, test_f1: 0.5286
 epoch: 66, train_loss: 0.7671, test_loss: 1.2695, test_f1: 0.5705
 epoch: 67, train_loss: 0.7611, test_loss: 1.2716, test_f1: 0.5621
 epoch: 68, train_loss: 0.7568, test_loss: 1.3080, test_f1: 0.5212
 epoch: 69, train_loss: 0.7394, test_loss: 1.3030, test_f1: 0.5348
 epoch: 70, train_loss: 0.7577, test_loss: 1.3213, test_f1: 0.5405
 epoch: 71, train_loss: 0.7647, test_loss: 1.3720, test_f1: 0.5375
 epoch: 72, train_loss: 0.7329, test_loss: 1.3312, test_f1: 0.5647
 epoch: 73, train_loss: 0.7594, test_loss: 1.3039, test_f1: 0.5692
 epoch: 74, train_loss: 0.7380, test_loss: 1.4066, test_f1: 0.5690
 epoch: 75, train_loss: 0.7332, test_loss: 1.2341, test_f1: 0.5774
 epoch: 76, train_loss: 0.7484, test_loss: 1.2899, test_f1: 0.5823
 epoch: 77, train_loss: 0.7271, test_loss: 1.4092, test_f1: 0.5441
 epoch: 78, train_loss: 0.7223, test_loss: 1.3759, test_f1: 0.5601
 epoch: 79, train_loss: 0.7349, test_loss: 1.4342, test_f1: 0.5847
 epoch: 80, train_loss: 0.7574, test_loss: 1.3628, test_f1: 0.5743
 epoch: 81, train_loss: 0.7211, test_loss: 1.4069, test_f1: 0.5603
 epoch: 82, train_loss: 0.7430, test_loss: 1.3363, test_f1: 0.5760
 epoch: 83, train_loss: 0.7232, test_loss: 1.4385, test_f1: 0.5674
 epoch: 84, train_loss: 0.7040, test_loss: 1.3487, test_f1: 0.5674
 epoch: 85, train_loss: 0.7261, test_loss: 1.4118, test_f1: 0.5730
 epoch: 86, train_loss: 0.7272, test_loss: 1.3348, test_f1: 0.5705
 epoch: 87, train_loss: 0.7127, test_loss: 1.4037, test_f1: 0.5574
 epoch: 88, train_loss: 0.7154, test_loss: 1.4430, test_f1: 0.5785
 epoch: 89, train_loss: 0.7033, test_loss: 1.3928, test_f1: 0.5686
 epoch: 90, train_loss: 0.7128, test_loss: 1.4483, test_f1: 0.5293
 epoch: 91, train_loss: 0.7208, test_loss: 1.4502, test_f1: 0.5490
 epoch: 92, train_loss: 0.7023, test_loss: 1.4067, test_f1: 0.5539
 epoch: 93, train_loss: 0.7019, test_loss: 1.3657, test_f1: 0.5688
 epoch: 94, train_loss: 0.7214, test_loss: 1.4394, test_f1: 0.5631
 epoch: 95, train_loss: 0.7035, test_loss: 1.4830, test_f1: 0.5246
 epoch: 96, train_loss: 0.7003, test_loss: 1.4682, test_f1: 0.5862
 epoch: 97, train_loss: 0.7121, test_loss: 1.4716, test_f1: 0.5568
 epoch: 98, train_loss: 0.6962, test_loss: 1.5427, test_f1: 0.5112
 epoch: 99, train_loss: 0.6854, test_loss: 1.6107, test_f1: 0.5256
 epoch: 0, train_loss: 1.2938, test_loss: 1.3451, test_f1: 0.2818
 epoch: 1, train_loss: 1.2167, test_loss: 1.3180, test_f1: 0.3437
 epoch: 2, train_loss: 1.2011, test_loss: 1.3014, test_f1: 0.3435
 epoch: 3, train_loss: 1.1838, test_loss: 1.2780, test_f1: 0.3476
 epoch: 4, train_loss: 1.1732, test_loss: 1.3148, test_f1: 0.4046
 epoch: 5, train_loss: 1.1491, test_loss: 1.2999, test_f1: 0.3880
 epoch: 6, train_loss: 1.1415, test_loss: 1.2747, test_f1: 0.4381
 epoch: 7, train_loss: 1.1245, test_loss: 1.2631, test_f1: 0.4125
 epoch: 8, train_loss: 1.0981, test_loss: 1.2187, test_f1: 0.4450
 epoch: 9, train_loss: 1.0936, test_loss: 1.2526, test_f1: 0.3993
 epoch: 10, train_loss: 1.0809, test_loss: 1.3064, test_f1: 0.3831
 epoch: 11, train_loss: 1.0713, test_loss: 1.2569, test_f1: 0.4265
 epoch: 12, train_loss: 1.0593, test_loss: 1.2028, test_f1: 0.4365
 epoch: 13, train_loss: 1.0686, test_loss: 1.3088, test_f1: 0.4264
 epoch: 14, train_loss: 1.0284, test_loss: 1.1745, test_f1: 0.4821
 epoch: 15, train_loss: 1.0307, test_loss: 1.2117, test_f1: 0.3991
 epoch: 16, train_loss: 1.0225, test_loss: 1.1527, test_f1: 0.4320
 epoch: 17, train_loss: 1.0217, test_loss: 1.1627, test_f1: 0.4666
 epoch: 18, train_loss: 1.0000, test_loss: 1.1531, test_f1: 0.4765
 epoch: 19, train_loss: 0.9987, test_loss: 1.1405, test_f1: 0.4747
 epoch: 20, train_loss: 0.9812, test_loss: 1.2337, test_f1: 0.5015
 epoch: 21, train_loss: 0.9888, test_loss: 1.1749, test_f1: 0.4838
 epoch: 22, train_loss: 0.9886, test_loss: 1.3974, test_f1: 0.4241
 epoch: 23, train_loss: 0.9663, test_loss: 1.1207, test_f1: 0.5217
 epoch: 24, train_loss: 0.9677, test_loss: 1.1971, test_f1: 0.4734
 epoch: 25, train_loss: 0.9765, test_loss: 1.3358, test_f1: 0.4797
 epoch: 26, train_loss: 0.9788, test_loss: 1.2263, test_f1: 0.4573
 epoch: 27, train_loss: 0.9604, test_loss: 1.2294, test_f1: 0.4452
 epoch: 28, train_loss: 0.9790, test_loss: 1.3280, test_f1: 0.4120
 epoch: 29, train_loss: 0.9528, test_loss: 1.1894, test_f1: 0.4809
 epoch: 30, train_loss: 0.9593, test_loss: 1.1850, test_f1: 0.5195
 epoch: 31, train_loss: 0.9461, test_loss: 1.2541, test_f1: 0.4605
 epoch: 32, train_loss: 0.9469, test_loss: 1.1723, test_f1: 0.5084
 epoch: 33, train_loss: 0.9527, test_loss: 1.2486, test_f1: 0.4900
 epoch: 34, train_loss: 0.9246, test_loss: 1.2964, test_f1: 0.4520
 epoch: 35, train_loss: 0.9324, test_loss: 1.2643, test_f1: 0.4586
 epoch: 36, train_loss: 0.9274, test_loss: 1.2416, test_f1: 0.5368
 epoch: 37, train_loss: 0.9271, test_loss: 1.1562, test_f1: 0.5242
 epoch: 38, train_loss: 0.9323, test_loss: 1.2822, test_f1: 0.4193
 epoch: 39, train_loss: 0.9076, test_loss: 1.1980, test_f1: 0.4883
 epoch: 40, train_loss: 0.9063, test_loss: 1.1838, test_f1: 0.5173
 epoch: 41, train_loss: 0.9010, test_loss: 1.2022, test_f1: 0.5319
 epoch: 42, train_loss: 0.9045, test_loss: 1.1950, test_f1: 0.5613
 epoch: 43, train_loss: 0.8978, test_loss: 1.1864, test_f1: 0.5219
 epoch: 44, train_loss: 0.8806, test_loss: 1.2227, test_f1: 0.5190
 epoch: 45, train_loss: 0.8834, test_loss: 1.4742, test_f1: 0.4305
 epoch: 46, train_loss: 0.9079, test_loss: 1.3968, test_f1: 0.3776
 epoch: 47, train_loss: 0.8806, test_loss: 1.3284, test_f1: 0.5146
 epoch: 48, train_loss: 0.8603, test_loss: 1.2505, test_f1: 0.5240
 epoch: 49, train_loss: 0.8674, test_loss: 1.1827, test_f1: 0.5130
 epoch: 50, train_loss: 0.8721, test_loss: 1.3427, test_f1: 0.5059
 epoch: 51, train_loss: 0.8542, test_loss: 1.2795, test_f1: 0.5334
 epoch: 52, train_loss: 0.8548, test_loss: 1.1902, test_f1: 0.4965
 epoch: 53, train_loss: 0.8481, test_loss: 1.2164, test_f1: 0.5726
 epoch: 54, train_loss: 0.8229, test_loss: 1.2194, test_f1: 0.5743
 epoch: 55, train_loss: 0.8100, test_loss: 1.3004, test_f1: 0.5322
 epoch: 56, train_loss: 0.8201, test_loss: 1.2814, test_f1: 0.5104
 epoch: 57, train_loss: 0.7971, test_loss: 1.2644, test_f1: 0.5742
 epoch: 58, train_loss: 0.8025, test_loss: 1.3156, test_f1: 0.5146
 epoch: 59, train_loss: 0.8104, test_loss: 1.3282, test_f1: 0.5649
 epoch: 60, train_loss: 0.7775, test_loss: 1.2931, test_f1: 0.5417
 epoch: 61, train_loss: 0.8046, test_loss: 1.3600, test_f1: 0.4857
 epoch: 62, train_loss: 0.8228, test_loss: 1.2856, test_f1: 0.5205
 epoch: 63, train_loss: 0.8207, test_loss: 1.3529, test_f1: 0.5480
 epoch: 64, train_loss: 0.7996, test_loss: 1.2528, test_f1: 0.5593
 epoch: 65, train_loss: 0.7966, test_loss: 1.4647, test_f1: 0.5325
