 epoch: 0, train_loss: 1.4463, test_loss: 1.4304, test_f1: 0.0507
 epoch: 1, train_loss: 1.4217, test_loss: 1.4239, test_f1: 0.0507
 epoch: 2, train_loss: 1.4048, test_loss: 1.4162, test_f1: 0.0507
 epoch: 3, train_loss: 1.3859, test_loss: 1.4054, test_f1: 0.0507
 epoch: 4, train_loss: 1.3680, test_loss: 1.3896, test_f1: 0.0939
 epoch: 5, train_loss: 1.3421, test_loss: 1.3694, test_f1: 0.1145
 epoch: 6, train_loss: 1.3224, test_loss: 1.3497, test_f1: 0.2565
 epoch: 7, train_loss: 1.2987, test_loss: 1.3286, test_f1: 0.2414
 epoch: 8, train_loss: 1.2756, test_loss: 1.3042, test_f1: 0.2336
 epoch: 9, train_loss: 1.2531, test_loss: 1.2852, test_f1: 0.2281
 epoch: 10, train_loss: 1.2393, test_loss: 1.2759, test_f1: 0.2281
 epoch: 11, train_loss: 1.2238, test_loss: 1.2698, test_f1: 0.2281
 epoch: 12, train_loss: 1.2139, test_loss: 1.2639, test_f1: 0.2285
 epoch: 13, train_loss: 1.2093, test_loss: 1.2540, test_f1: 0.2289
 epoch: 14, train_loss: 1.1985, test_loss: 1.2496, test_f1: 0.2622
 epoch: 15, train_loss: 1.1790, test_loss: 1.2454, test_f1: 0.2707
 epoch: 16, train_loss: 1.1705, test_loss: 1.2433, test_f1: 0.2752
 epoch: 17, train_loss: 1.1681, test_loss: 1.2392, test_f1: 0.2788
 epoch: 18, train_loss: 1.1668, test_loss: 1.2357, test_f1: 0.2735
 epoch: 19, train_loss: 1.1624, test_loss: 1.2278, test_f1: 0.2813
 epoch: 20, train_loss: 1.1583, test_loss: 1.2223, test_f1: 0.2991
 epoch: 21, train_loss: 1.1477, test_loss: 1.2223, test_f1: 0.3315
 epoch: 22, train_loss: 1.1507, test_loss: 1.2227, test_f1: 0.3555
 epoch: 23, train_loss: 1.1416, test_loss: 1.2191, test_f1: 0.3417
 epoch: 24, train_loss: 1.1261, test_loss: 1.2183, test_f1: 0.3496
 epoch: 25, train_loss: 1.1390, test_loss: 1.2157, test_f1: 0.3482
 epoch: 26, train_loss: 1.1350, test_loss: 1.2128, test_f1: 0.3540
 epoch: 27, train_loss: 1.1278, test_loss: 1.2241, test_f1: 0.3551
 epoch: 28, train_loss: 1.1315, test_loss: 1.2031, test_f1: 0.3558
 epoch: 29, train_loss: 1.1326, test_loss: 1.2017, test_f1: 0.3652
 epoch: 30, train_loss: 1.1267, test_loss: 1.2047, test_f1: 0.3693
 epoch: 31, train_loss: 1.1225, test_loss: 1.2093, test_f1: 0.3719
 epoch: 32, train_loss: 1.1253, test_loss: 1.2048, test_f1: 0.3588
 epoch: 33, train_loss: 1.1173, test_loss: 1.2038, test_f1: 0.3500
 epoch: 34, train_loss: 1.1165, test_loss: 1.2043, test_f1: 0.3532
 epoch: 35, train_loss: 1.1162, test_loss: 1.2178, test_f1: 0.3438
 epoch: 36, train_loss: 1.1134, test_loss: 1.2276, test_f1: 0.3464
 epoch: 37, train_loss: 1.1108, test_loss: 1.2128, test_f1: 0.3612
 epoch: 38, train_loss: 1.1097, test_loss: 1.1991, test_f1: 0.3516
 epoch: 39, train_loss: 1.0985, test_loss: 1.2059, test_f1: 0.3591
 epoch: 40, train_loss: 1.1019, test_loss: 1.2162, test_f1: 0.3528
 epoch: 41, train_loss: 1.1053, test_loss: 1.2100, test_f1: 0.3512
 epoch: 42, train_loss: 1.1118, test_loss: 1.2089, test_f1: 0.3587
 epoch: 43, train_loss: 1.0991, test_loss: 1.2093, test_f1: 0.3620
 epoch: 44, train_loss: 1.0986, test_loss: 1.2204, test_f1: 0.3529
 epoch: 45, train_loss: 1.0951, test_loss: 1.2296, test_f1: 0.3513
 epoch: 46, train_loss: 1.0937, test_loss: 1.2139, test_f1: 0.3512
 epoch: 47, train_loss: 1.0871, test_loss: 1.2205, test_f1: 0.3569
 epoch: 48, train_loss: 1.0984, test_loss: 1.2239, test_f1: 0.3505
 epoch: 49, train_loss: 1.0943, test_loss: 1.2235, test_f1: 0.3548
 epoch: 50, train_loss: 1.0843, test_loss: 1.2154, test_f1: 0.3709
 epoch: 51, train_loss: 1.0827, test_loss: 1.2154, test_f1: 0.3787
 epoch: 52, train_loss: 1.0919, test_loss: 1.2190, test_f1: 0.3758
 epoch: 53, train_loss: 1.0883, test_loss: 1.2193, test_f1: 0.3884
 epoch: 54, train_loss: 1.0895, test_loss: 1.2218, test_f1: 0.3545
 epoch: 55, train_loss: 1.0810, test_loss: 1.2129, test_f1: 0.3563
 epoch: 56, train_loss: 1.0836, test_loss: 1.2101, test_f1: 0.3539
 epoch: 57, train_loss: 1.0852, test_loss: 1.2113, test_f1: 0.3733
 epoch: 58, train_loss: 1.0825, test_loss: 1.2152, test_f1: 0.3762
 epoch: 59, train_loss: 1.0746, test_loss: 1.2435, test_f1: 0.3620
 epoch: 60, train_loss: 1.0826, test_loss: 1.2393, test_f1: 0.3828
 epoch: 61, train_loss: 1.0776, test_loss: 1.2470, test_f1: 0.3932
 epoch: 62, train_loss: 1.0813, test_loss: 1.2465, test_f1: 0.4309
 epoch: 63, train_loss: 1.0658, test_loss: 1.2466, test_f1: 0.4439
 epoch: 64, train_loss: 1.0725, test_loss: 1.2344, test_f1: 0.4312
 epoch: 65, train_loss: 1.0659, test_loss: 1.2292, test_f1: 0.4338
 epoch: 66, train_loss: 1.0713, test_loss: 1.2292, test_f1: 0.4232
 epoch: 67, train_loss: 1.0748, test_loss: 1.2272, test_f1: 0.4214
 epoch: 68, train_loss: 1.0724, test_loss: 1.2324, test_f1: 0.4342
 epoch: 69, train_loss: 1.0661, test_loss: 1.2276, test_f1: 0.4245
 epoch: 70, train_loss: 1.0670, test_loss: 1.2095, test_f1: 0.4243
 epoch: 71, train_loss: 1.0689, test_loss: 1.2047, test_f1: 0.4322
 epoch: 72, train_loss: 1.0694, test_loss: 1.2091, test_f1: 0.4477
 epoch: 73, train_loss: 1.0729, test_loss: 1.2194, test_f1: 0.4292
 epoch: 74, train_loss: 1.0735, test_loss: 1.2250, test_f1: 0.4240
 epoch: 75, train_loss: 1.0630, test_loss: 1.2195, test_f1: 0.4401
 epoch: 76, train_loss: 1.0709, test_loss: 1.2157, test_f1: 0.4190
 epoch: 77, train_loss: 1.0651, test_loss: 1.2192, test_f1: 0.4053
 epoch: 78, train_loss: 1.0645, test_loss: 1.2248, test_f1: 0.4108
 epoch: 79, train_loss: 1.0655, test_loss: 1.2322, test_f1: 0.4189
 epoch: 80, train_loss: 1.0577, test_loss: 1.2475, test_f1: 0.4237
 epoch: 81, train_loss: 1.0601, test_loss: 1.2310, test_f1: 0.4167
 epoch: 82, train_loss: 1.0585, test_loss: 1.2353, test_f1: 0.4310
 epoch: 83, train_loss: 1.0608, test_loss: 1.2412, test_f1: 0.4264
 epoch: 84, train_loss: 1.0581, test_loss: 1.2460, test_f1: 0.4174
 epoch: 85, train_loss: 1.0583, test_loss: 1.2213, test_f1: 0.4318
