 epoch: 0, train_loss: 1.3073, test_loss: 1.2966, test_f1: 0.3411
 epoch: 1, train_loss: 1.1708, test_loss: 1.2583, test_f1: 0.3411
 epoch: 2, train_loss: 1.1217, test_loss: 1.1825, test_f1: 0.4512
 epoch: 3, train_loss: 1.0671, test_loss: 1.2478, test_f1: 0.4055
 epoch: 4, train_loss: 1.0022, test_loss: 1.0519, test_f1: 0.3992
 epoch: 5, train_loss: 0.9702, test_loss: 1.0358, test_f1: 0.5127
 epoch: 6, train_loss: 0.9269, test_loss: 1.0195, test_f1: 0.5416
 epoch: 7, train_loss: 0.8929, test_loss: 0.9847, test_f1: 0.5692
 epoch: 8, train_loss: 0.8656, test_loss: 1.0999, test_f1: 0.4887
 epoch: 9, train_loss: 0.8493, test_loss: 0.9368, test_f1: 0.6052
 epoch: 10, train_loss: 0.8052, test_loss: 1.0307, test_f1: 0.5327
 epoch: 11, train_loss: 0.7980, test_loss: 0.9622, test_f1: 0.5462
 epoch: 12, train_loss: 0.7723, test_loss: 1.0625, test_f1: 0.5487
 epoch: 13, train_loss: 0.7442, test_loss: 1.0161, test_f1: 0.5157
 epoch: 14, train_loss: 0.7216, test_loss: 1.0978, test_f1: 0.5410
 epoch: 15, train_loss: 0.7217, test_loss: 1.0821, test_f1: 0.5247
 epoch: 16, train_loss: 0.7130, test_loss: 1.1760, test_f1: 0.5158
 epoch: 17, train_loss: 0.6790, test_loss: 0.9788, test_f1: 0.5606
 epoch: 18, train_loss: 0.6771, test_loss: 1.0224, test_f1: 0.5870
 epoch: 19, train_loss: 0.6360, test_loss: 1.0146, test_f1: 0.6180
 epoch: 20, train_loss: 0.6300, test_loss: 1.1110, test_f1: 0.5118
 epoch: 21, train_loss: 0.6155, test_loss: 1.1196, test_f1: 0.5421
 epoch: 22, train_loss: 0.6132, test_loss: 1.0062, test_f1: 0.6257
 epoch: 23, train_loss: 0.5672, test_loss: 1.1101, test_f1: 0.5750
 epoch: 24, train_loss: 0.5464, test_loss: 1.1500, test_f1: 0.6315
 epoch: 25, train_loss: 0.5299, test_loss: 1.0476, test_f1: 0.6559
 epoch: 26, train_loss: 0.5392, test_loss: 1.0011, test_f1: 0.6469
 epoch: 27, train_loss: 0.5286, test_loss: 1.0349, test_f1: 0.6258
 epoch: 28, train_loss: 0.5198, test_loss: 1.3596, test_f1: 0.5434
 epoch: 29, train_loss: 0.4746, test_loss: 1.0051, test_f1: 0.6501
 epoch: 30, train_loss: 0.4884, test_loss: 1.2879, test_f1: 0.5833
 epoch: 31, train_loss: 0.4710, test_loss: 1.3147, test_f1: 0.4922
 epoch: 32, train_loss: 0.4696, test_loss: 1.2009, test_f1: 0.6213
 epoch: 33, train_loss: 0.4372, test_loss: 1.3514, test_f1: 0.5603
 epoch: 34, train_loss: 0.4203, test_loss: 1.2719, test_f1: 0.5733
 epoch: 35, train_loss: 0.4273, test_loss: 1.3048, test_f1: 0.6186
 epoch: 36, train_loss: 0.4523, test_loss: 1.3803, test_f1: 0.6003
 epoch: 37, train_loss: 0.4418, test_loss: 1.2204, test_f1: 0.6026
 epoch: 38, train_loss: 0.4105, test_loss: 1.2218, test_f1: 0.6693
 epoch: 39, train_loss: 0.3800, test_loss: 1.4774, test_f1: 0.5841
 epoch: 40, train_loss: 0.3871, test_loss: 1.2507, test_f1: 0.6493
 epoch: 41, train_loss: 0.3615, test_loss: 1.4473, test_f1: 0.6048
 epoch: 42, train_loss: 0.3558, test_loss: 1.3217, test_f1: 0.6396
 epoch: 43, train_loss: 0.3437, test_loss: 1.3818, test_f1: 0.6639
 epoch: 44, train_loss: 0.3457, test_loss: 1.5047, test_f1: 0.6107
 epoch: 45, train_loss: 0.3576, test_loss: 1.5181, test_f1: 0.6479
 epoch: 46, train_loss: 0.3449, test_loss: 1.4725, test_f1: 0.6685
 epoch: 47, train_loss: 0.3618, test_loss: 1.3706, test_f1: 0.6225
 epoch: 48, train_loss: 0.3323, test_loss: 1.5130, test_f1: 0.6052
 epoch: 49, train_loss: 0.3362, test_loss: 1.5370, test_f1: 0.6029
 epoch: 50, train_loss: 0.3230, test_loss: 1.3761, test_f1: 0.6069
 epoch: 51, train_loss: 0.2493, test_loss: 1.5990, test_f1: 0.6192
 epoch: 52, train_loss: 0.2465, test_loss: 1.6132, test_f1: 0.6490
 epoch: 53, train_loss: 0.2316, test_loss: 1.5763, test_f1: 0.6461
 epoch: 54, train_loss: 0.2097, test_loss: 1.6926, test_f1: 0.6446
 epoch: 55, train_loss: 0.2088, test_loss: 1.6274, test_f1: 0.6627
 epoch: 56, train_loss: 0.1974, test_loss: 1.7032, test_f1: 0.6304
 epoch: 57, train_loss: 0.1889, test_loss: 1.9300, test_f1: 0.5953
 epoch: 58, train_loss: 0.1673, test_loss: 1.8557, test_f1: 0.6319
 epoch: 59, train_loss: 0.1836, test_loss: 1.9378, test_f1: 0.6446
 epoch: 60, train_loss: 0.2057, test_loss: 1.7555, test_f1: 0.6429
 epoch: 61, train_loss: 0.1786, test_loss: 1.9900, test_f1: 0.6221
 epoch: 62, train_loss: 0.1801, test_loss: 1.9272, test_f1: 0.6541
 epoch: 63, train_loss: 0.1666, test_loss: 1.9653, test_f1: 0.6381
 epoch: 64, train_loss: 0.1643, test_loss: 1.8178, test_f1: 0.6914
 epoch: 65, train_loss: 0.1893, test_loss: 2.0398, test_f1: 0.6039
 epoch: 66, train_loss: 0.1705, test_loss: 2.0208, test_f1: 0.6014
 epoch: 67, train_loss: 0.1615, test_loss: 1.8452, test_f1: 0.6951
 epoch: 68, train_loss: 0.1609, test_loss: 2.1271, test_f1: 0.6367
 epoch: 69, train_loss: 0.1663, test_loss: 1.9338, test_f1: 0.6531
 epoch: 70, train_loss: 0.1701, test_loss: 2.1301, test_f1: 0.6085
 epoch: 71, train_loss: 0.1753, test_loss: 2.0889, test_f1: 0.6243
 epoch: 72, train_loss: 0.1500, test_loss: 1.9670, test_f1: 0.6647
 epoch: 73, train_loss: 0.1708, test_loss: 2.0296, test_f1: 0.6339
 epoch: 74, train_loss: 0.1371, test_loss: 2.0823, test_f1: 0.6593
 epoch: 75, train_loss: 0.1394, test_loss: 2.0701, test_f1: 0.6534
 epoch: 76, train_loss: 0.1120, test_loss: 2.1943, test_f1: 0.6530
 epoch: 77, train_loss: 0.1296, test_loss: 2.3640, test_f1: 0.6383
 epoch: 78, train_loss: 0.1609, test_loss: 2.1359, test_f1: 0.6424
 epoch: 79, train_loss: 0.1273, test_loss: 2.1973, test_f1: 0.6364
 epoch: 80, train_loss: 0.1621, test_loss: 2.4828, test_f1: 0.6311
 epoch: 81, train_loss: 0.1549, test_loss: 2.4214, test_f1: 0.6681
 epoch: 82, train_loss: 0.1395, test_loss: 2.2566, test_f1: 0.6395
 epoch: 83, train_loss: 0.1578, test_loss: 2.4008, test_f1: 0.6357
 epoch: 84, train_loss: 0.1401, test_loss: 2.1763, test_f1: 0.6727
 epoch: 85, train_loss: 0.1311, test_loss: 2.4787, test_f1: 0.6323
 epoch: 86, train_loss: 0.1221, test_loss: 2.4077, test_f1: 0.6320
 epoch: 87, train_loss: 0.1181, test_loss: 2.6543, test_f1: 0.6408
 epoch: 88, train_loss: 0.1243, test_loss: 2.3788, test_f1: 0.6548
 epoch: 89, train_loss: 0.1125, test_loss: 2.5317, test_f1: 0.6307
 epoch: 90, train_loss: 0.1332, test_loss: 2.5207, test_f1: 0.6471
 epoch: 91, train_loss: 0.1213, test_loss: 2.4182, test_f1: 0.6438
 epoch: 92, train_loss: 0.1137, test_loss: 2.4690, test_f1: 0.6754
 epoch: 93, train_loss: 0.1443, test_loss: 2.5752, test_f1: 0.6467
 epoch: 94, train_loss: 0.1106, test_loss: 2.5283, test_f1: 0.6671
 epoch: 95, train_loss: 0.1194, test_loss: 2.4835, test_f1: 0.6723
 epoch: 96, train_loss: 0.1063, test_loss: 2.5731, test_f1: 0.6817
 epoch: 97, train_loss: 0.1144, test_loss: 2.5526, test_f1: 0.6570
 epoch: 98, train_loss: 0.1061, test_loss: 2.5575, test_f1: 0.6649
 epoch: 99, train_loss: 0.1096, test_loss: 2.6593, test_f1: 0.6479
 epoch: 0, train_loss: 1.2347, test_loss: 1.2719, test_f1: 0.3090
 epoch: 1, train_loss: 1.0708, test_loss: 1.1641, test_f1: 0.4548
 epoch: 2, train_loss: 0.9872, test_loss: 1.0709, test_f1: 0.5224
 epoch: 3, train_loss: 0.9357, test_loss: 1.0182, test_f1: 0.5501
 epoch: 4, train_loss: 0.8872, test_loss: 1.0109, test_f1: 0.5216
 epoch: 5, train_loss: 0.8463, test_loss: 1.0319, test_f1: 0.5499
 epoch: 6, train_loss: 0.8122, test_loss: 1.1051, test_f1: 0.5364
 epoch: 7, train_loss: 0.8066, test_loss: 1.0131, test_f1: 0.5847
 epoch: 8, train_loss: 0.7547, test_loss: 1.1185, test_f1: 0.5662
 epoch: 9, train_loss: 0.7519, test_loss: 1.4125, test_f1: 0.4578
