 epoch: 0, train_loss: 1.2375, test_loss: 1.2452, test_f1: 0.1654
 epoch: 1, train_loss: 1.0418, test_loss: 1.3249, test_f1: 0.1695
 epoch: 2, train_loss: 0.9823, test_loss: 0.9951, test_f1: 0.2853
 epoch: 3, train_loss: 0.9592, test_loss: 0.8832, test_f1: 0.5036
 epoch: 4, train_loss: 0.9339, test_loss: 0.9005, test_f1: 0.4456
 epoch: 5, train_loss: 0.9354, test_loss: 0.9514, test_f1: 0.4749
 epoch: 6, train_loss: 0.9174, test_loss: 0.8757, test_f1: 0.4351
 epoch: 7, train_loss: 0.9032, test_loss: 0.8779, test_f1: 0.5634
 epoch: 8, train_loss: 0.8863, test_loss: 0.8441, test_f1: 0.5491
 epoch: 9, train_loss: 0.8623, test_loss: 0.9586, test_f1: 0.4216
 epoch: 10, train_loss: 0.8713, test_loss: 0.9010, test_f1: 0.4142
 epoch: 11, train_loss: 0.8518, test_loss: 0.8649, test_f1: 0.4712
 epoch: 12, train_loss: 0.8517, test_loss: 0.8873, test_f1: 0.5209
 epoch: 13, train_loss: 0.8369, test_loss: 0.8772, test_f1: 0.5453
 epoch: 14, train_loss: 0.8512, test_loss: 0.8036, test_f1: 0.5749
 epoch: 15, train_loss: 0.7986, test_loss: 0.8106, test_f1: 0.5486
 epoch: 16, train_loss: 0.8034, test_loss: 0.8594, test_f1: 0.5315
 epoch: 17, train_loss: 0.8153, test_loss: 0.9568, test_f1: 0.4503
 epoch: 18, train_loss: 0.8087, test_loss: 0.9370, test_f1: 0.5460
 epoch: 19, train_loss: 0.8002, test_loss: 1.1671, test_f1: 0.4750
 epoch: 20, train_loss: 0.7784, test_loss: 0.9466, test_f1: 0.5429
 epoch: 21, train_loss: 0.7622, test_loss: 0.8349, test_f1: 0.5068
 epoch: 22, train_loss: 0.7618, test_loss: 0.9172, test_f1: 0.4553
 epoch: 23, train_loss: 0.7510, test_loss: 0.9464, test_f1: 0.5490
 epoch: 24, train_loss: 0.7469, test_loss: 0.8274, test_f1: 0.5462
 epoch: 25, train_loss: 0.7407, test_loss: 0.8262, test_f1: 0.6160
 epoch: 26, train_loss: 0.7449, test_loss: 1.2648, test_f1: 0.4113
 epoch: 27, train_loss: 0.7352, test_loss: 0.7892, test_f1: 0.5477
 epoch: 28, train_loss: 0.7250, test_loss: 0.8607, test_f1: 0.5937
 epoch: 29, train_loss: 0.6952, test_loss: 0.7623, test_f1: 0.5944
 epoch: 30, train_loss: 0.7167, test_loss: 1.0015, test_f1: 0.5388
 epoch: 31, train_loss: 0.7135, test_loss: 1.1652, test_f1: 0.4709
 epoch: 32, train_loss: 0.6924, test_loss: 0.9093, test_f1: 0.4964
 epoch: 33, train_loss: 0.6856, test_loss: 0.8105, test_f1: 0.5989
 epoch: 34, train_loss: 0.6910, test_loss: 0.8177, test_f1: 0.5523
 epoch: 35, train_loss: 0.6915, test_loss: 0.9709, test_f1: 0.5653
 epoch: 36, train_loss: 0.6854, test_loss: 0.8996, test_f1: 0.5220
 epoch: 37, train_loss: 0.6938, test_loss: 0.8224, test_f1: 0.6638
 epoch: 38, train_loss: 0.6728, test_loss: 0.8263, test_f1: 0.5983
 epoch: 39, train_loss: 0.6635, test_loss: 0.8569, test_f1: 0.6574
 epoch: 40, train_loss: 0.6434, test_loss: 0.7820, test_f1: 0.6170
 epoch: 41, train_loss: 0.6767, test_loss: 0.8904, test_f1: 0.5969
 epoch: 42, train_loss: 0.6678, test_loss: 0.7860, test_f1: 0.5410
 epoch: 43, train_loss: 0.6573, test_loss: 0.9826, test_f1: 0.5850
 epoch: 44, train_loss: 0.6303, test_loss: 0.8252, test_f1: 0.5395
 epoch: 45, train_loss: 0.6242, test_loss: 0.9899, test_f1: 0.6012
 epoch: 46, train_loss: 0.6215, test_loss: 1.1901, test_f1: 0.5058
 epoch: 47, train_loss: 0.6474, test_loss: 0.8635, test_f1: 0.5861
 epoch: 48, train_loss: 0.6543, test_loss: 0.8906, test_f1: 0.6278
 epoch: 49, train_loss: 0.6601, test_loss: 0.8455, test_f1: 0.6492
 epoch: 50, train_loss: 0.6335, test_loss: 1.3521, test_f1: 0.5607
 epoch: 51, train_loss: 0.6182, test_loss: 1.0819, test_f1: 0.5738
 epoch: 52, train_loss: 0.5859, test_loss: 1.0008, test_f1: 0.6576
 epoch: 53, train_loss: 0.5620, test_loss: 0.8350, test_f1: 0.6279
 epoch: 54, train_loss: 0.5719, test_loss: 1.0262, test_f1: 0.6382
 epoch: 55, train_loss: 0.5408, test_loss: 0.9894, test_f1: 0.6507
 epoch: 56, train_loss: 0.5604, test_loss: 0.9275, test_f1: 0.6378
 epoch: 57, train_loss: 0.5426, test_loss: 0.9981, test_f1: 0.6392
 epoch: 58, train_loss: 0.5534, test_loss: 0.9956, test_f1: 0.6364
 epoch: 59, train_loss: 0.5373, test_loss: 1.0012, test_f1: 0.6435
 epoch: 60, train_loss: 0.5391, test_loss: 1.0214, test_f1: 0.6317
 epoch: 61, train_loss: 0.5519, test_loss: 1.2564, test_f1: 0.5759
 epoch: 62, train_loss: 0.5585, test_loss: 0.9595, test_f1: 0.5376
 epoch: 63, train_loss: 0.5520, test_loss: 1.1532, test_f1: 0.6251
 epoch: 64, train_loss: 0.5440, test_loss: 0.9887, test_f1: 0.5794
 epoch: 65, train_loss: 0.5309, test_loss: 1.0214, test_f1: 0.6521
 epoch: 66, train_loss: 0.5423, test_loss: 0.9936, test_f1: 0.6124
 epoch: 67, train_loss: 0.5177, test_loss: 1.0000, test_f1: 0.5821
 epoch: 68, train_loss: 0.5168, test_loss: 1.0370, test_f1: 0.6368
 epoch: 69, train_loss: 0.5255, test_loss: 0.9417, test_f1: 0.6365
 epoch: 70, train_loss: 0.5208, test_loss: 1.1256, test_f1: 0.6187
 epoch: 71, train_loss: 0.5252, test_loss: 1.1123, test_f1: 0.6727
 epoch: 72, train_loss: 0.5153, test_loss: 0.9833, test_f1: 0.6472
 epoch: 73, train_loss: 0.5204, test_loss: 1.1350, test_f1: 0.6300
 epoch: 74, train_loss: 0.4983, test_loss: 1.1947, test_f1: 0.6112
 epoch: 75, train_loss: 0.4932, test_loss: 1.1880, test_f1: 0.6255
 epoch: 76, train_loss: 0.5014, test_loss: 1.1565, test_f1: 0.6309
 epoch: 77, train_loss: 0.5217, test_loss: 1.2068, test_f1: 0.6454
 epoch: 78, train_loss: 0.5034, test_loss: 1.1307, test_f1: 0.6237
 epoch: 79, train_loss: 0.5032, test_loss: 1.2578, test_f1: 0.6230
 epoch: 80, train_loss: 0.5104, test_loss: 1.0733, test_f1: 0.6177
 epoch: 81, train_loss: 0.4827, test_loss: 1.1181, test_f1: 0.6126
 epoch: 82, train_loss: 0.5225, test_loss: 1.3564, test_f1: 0.5942
 epoch: 83, train_loss: 0.4746, test_loss: 1.2207, test_f1: 0.6287
 epoch: 84, train_loss: 0.4832, test_loss: 1.2097, test_f1: 0.6081
 epoch: 85, train_loss: 0.4925, test_loss: 1.1158, test_f1: 0.5920
