STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_component --model FEGIN --layers 5 --hiddens 128 --batch_size 256 --lr 0.001 --emb_size 250 --epochs 100 --save_appendix component_component_L5_H128_BS256_LR0.001_E250 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 5 layers, 128 hidden units, h = 2
Loading component_component representation dataset
dataset loaded 2 4 1948
ENTERED
Training FEGIN on component_component representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.3624, test_loss: 1.3575, test_f1: 0.3514
 epoch: 1, train_loss: 1.2356, test_loss: 1.3189, test_f1: 0.2281
 epoch: 2, train_loss: 1.2105, test_loss: 1.3047, test_f1: 0.2281
 epoch: 3, train_loss: 1.1935, test_loss: 1.2946, test_f1: 0.3478
 epoch: 4, train_loss: 1.1800, test_loss: 1.2920, test_f1: 0.3436
 epoch: 5, train_loss: 1.1606, test_loss: 1.2609, test_f1: 0.3571
 epoch: 6, train_loss: 1.1482, test_loss: 1.2338, test_f1: 0.2609
 epoch: 7, train_loss: 1.1338, test_loss: 1.2186, test_f1: 0.3732
 epoch: 8, train_loss: 1.1233, test_loss: 1.2560, test_f1: 0.3456
 epoch: 9, train_loss: 1.1102, test_loss: 1.2251, test_f1: 0.3920
 epoch: 10, train_loss: 1.1147, test_loss: 1.8760, test_f1: 0.3570
 epoch: 11, train_loss: 1.0868, test_loss: 1.2555, test_f1: 0.3964
 epoch: 12, train_loss: 1.0757, test_loss: 1.2314, test_f1: 0.4367
 epoch: 13, train_loss: 1.0587, test_loss: 1.2028, test_f1: 0.4754
 epoch: 14, train_loss: 1.0437, test_loss: 1.2730, test_f1: 0.4384
 epoch: 15, train_loss: 1.0317, test_loss: 1.2450, test_f1: 0.4597
 epoch: 16, train_loss: 1.0404, test_loss: 1.1837, test_f1: 0.4474
 epoch: 17, train_loss: 1.0320, test_loss: 1.1927, test_f1: 0.4545
 epoch: 18, train_loss: 1.0116, test_loss: 1.3559, test_f1: 0.4564
 epoch: 19, train_loss: 1.0292, test_loss: 1.3893, test_f1: 0.5092
 epoch: 20, train_loss: 1.0273, test_loss: 1.3112, test_f1: 0.4850
 epoch: 21, train_loss: 1.0162, test_loss: 1.3115, test_f1: 0.4764
 epoch: 22, train_loss: 0.9887, test_loss: 1.1948, test_f1: 0.4705
 epoch: 23, train_loss: 0.9566, test_loss: 1.2192, test_f1: 0.4455
 epoch: 24, train_loss: 0.9544, test_loss: 1.4347, test_f1: 0.3813
 epoch: 25, train_loss: 0.9569, test_loss: 1.2837, test_f1: 0.4988
 epoch: 26, train_loss: 0.9629, test_loss: 1.4840, test_f1: 0.4903
 epoch: 27, train_loss: 0.9520, test_loss: 1.4204, test_f1: 0.4670
