STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_net --model FEGIN --layers 4 --hiddens 64 --batch_size 64 --lr 0.0001 --emb_size 250 --epochs 100 --save_appendix component_net_L4_H64_BS64_LR0.0001_E250 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 4 layers, 64 hidden units, h = 2
Loading component_net representation dataset
dataset loaded 3 4 1948
ENTERED
Training FEGIN on component_net representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.4031, test_loss: 1.4017, test_f1: 0.1659
 epoch: 1, train_loss: 1.3831, test_loss: 1.3936, test_f1: 0.1598
 epoch: 2, train_loss: 1.3684, test_loss: 1.3786, test_f1: 0.1551
 epoch: 3, train_loss: 1.3494, test_loss: 1.3640, test_f1: 0.2077
 epoch: 4, train_loss: 1.3275, test_loss: 1.3443, test_f1: 0.3096
 epoch: 5, train_loss: 1.2988, test_loss: 1.3212, test_f1: 0.3319
 epoch: 6, train_loss: 1.2687, test_loss: 1.2960, test_f1: 0.3037
 epoch: 7, train_loss: 1.2369, test_loss: 1.2743, test_f1: 0.2871
 epoch: 8, train_loss: 1.2142, test_loss: 1.2572, test_f1: 0.2725
 epoch: 9, train_loss: 1.1910, test_loss: 1.2363, test_f1: 0.2519
 epoch: 10, train_loss: 1.1717, test_loss: 1.2237, test_f1: 0.2469
 epoch: 11, train_loss: 1.1518, test_loss: 1.2104, test_f1: 0.2723
 epoch: 12, train_loss: 1.1396, test_loss: 1.2012, test_f1: 0.2769
 epoch: 13, train_loss: 1.1275, test_loss: 1.1926, test_f1: 0.3107
 epoch: 14, train_loss: 1.1125, test_loss: 1.1786, test_f1: 0.3165
 epoch: 15, train_loss: 1.1056, test_loss: 1.1804, test_f1: 0.3105
 epoch: 16, train_loss: 1.0967, test_loss: 1.1717, test_f1: 0.3263
 epoch: 17, train_loss: 1.0817, test_loss: 1.1666, test_f1: 0.3359
 epoch: 18, train_loss: 1.0736, test_loss: 1.1494, test_f1: 0.3899
 epoch: 19, train_loss: 1.0679, test_loss: 1.1420, test_f1: 0.3929
 epoch: 20, train_loss: 1.0578, test_loss: 1.1347, test_f1: 0.4042
 epoch: 21, train_loss: 1.0516, test_loss: 1.1266, test_f1: 0.4029
 epoch: 22, train_loss: 1.0349, test_loss: 1.1370, test_f1: 0.4073
 epoch: 23, train_loss: 1.0202, test_loss: 1.1192, test_f1: 0.4217
 epoch: 24, train_loss: 1.0135, test_loss: 1.1402, test_f1: 0.4081
 epoch: 25, train_loss: 1.0148, test_loss: 1.1233, test_f1: 0.4276
 epoch: 26, train_loss: 1.0099, test_loss: 1.1074, test_f1: 0.4465
 epoch: 27, train_loss: 0.9885, test_loss: 1.0898, test_f1: 0.4511
 epoch: 28, train_loss: 0.9855, test_loss: 1.1141, test_f1: 0.4598
 epoch: 29, train_loss: 0.9710, test_loss: 1.0988, test_f1: 0.4456
 epoch: 30, train_loss: 0.9678, test_loss: 1.0776, test_f1: 0.4585
 epoch: 31, train_loss: 0.9576, test_loss: 1.0883, test_f1: 0.4517
 epoch: 32, train_loss: 0.9608, test_loss: 1.0848, test_f1: 0.4496
 epoch: 33, train_loss: 0.9411, test_loss: 1.0910, test_f1: 0.4700
 epoch: 34, train_loss: 0.9434, test_loss: 1.0927, test_f1: 0.4758
 epoch: 35, train_loss: 0.9358, test_loss: 1.0638, test_f1: 0.4845
 epoch: 36, train_loss: 0.9390, test_loss: 1.0827, test_f1: 0.4800
 epoch: 37, train_loss: 0.9226, test_loss: 1.0500, test_f1: 0.5073
 epoch: 38, train_loss: 0.9152, test_loss: 1.0667, test_f1: 0.4935
 epoch: 39, train_loss: 0.9121, test_loss: 1.0654, test_f1: 0.5166
 epoch: 40, train_loss: 0.9011, test_loss: 1.0615, test_f1: 0.5236
 epoch: 41, train_loss: 0.9057, test_loss: 1.0671, test_f1: 0.5106
 epoch: 42, train_loss: 0.9058, test_loss: 1.0342, test_f1: 0.5148
 epoch: 43, train_loss: 0.8995, test_loss: 1.0616, test_f1: 0.5238
 epoch: 44, train_loss: 0.9043, test_loss: 1.0389, test_f1: 0.5405
 epoch: 45, train_loss: 0.8859, test_loss: 1.0438, test_f1: 0.5326
 epoch: 46, train_loss: 0.8911, test_loss: 1.0111, test_f1: 0.5527
 epoch: 47, train_loss: 0.8944, test_loss: 1.0176, test_f1: 0.5262
 epoch: 48, train_loss: 0.8877, test_loss: 1.0497, test_f1: 0.5434
 epoch: 49, train_loss: 0.8671, test_loss: 1.0388, test_f1: 0.5435
 epoch: 50, train_loss: 0.8638, test_loss: 1.0493, test_f1: 0.5564
 epoch: 51, train_loss: 0.8553, test_loss: 1.0400, test_f1: 0.5579
 epoch: 52, train_loss: 0.8574, test_loss: 1.0151, test_f1: 0.5702
 epoch: 53, train_loss: 0.8517, test_loss: 1.0413, test_f1: 0.5772
 epoch: 54, train_loss: 0.8445, test_loss: 1.0346, test_f1: 0.5712
 epoch: 55, train_loss: 0.8439, test_loss: 1.0377, test_f1: 0.5664
 epoch: 56, train_loss: 0.8470, test_loss: 1.0252, test_f1: 0.5740
 epoch: 57, train_loss: 0.8374, test_loss: 1.0461, test_f1: 0.5716
 epoch: 58, train_loss: 0.8464, test_loss: 1.0386, test_f1: 0.5741
 epoch: 59, train_loss: 0.8410, test_loss: 1.0641, test_f1: 0.5818
 epoch: 60, train_loss: 0.8451, test_loss: 1.0273, test_f1: 0.5793
 epoch: 61, train_loss: 0.8407, test_loss: 1.0494, test_f1: 0.5757
