STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_pin --model FEGIN --layers 4 --hiddens 16 --batch_size 64 --lr 0.01 --emb_size 250 --epochs 100 --save_appendix component_pin_L4_H16_BS64_LR0.01_E250 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 4 layers, 16 hidden units, h = 2
Loading component_pin representation dataset
dataset loaded 16 4 1948
ENTERED
Training FEGIN on component_pin representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.2795, test_loss: 1.2932, test_f1: 0.2281
 epoch: 1, train_loss: 1.1717, test_loss: 1.2311, test_f1: 0.2281
 epoch: 2, train_loss: 1.1391, test_loss: 1.4980, test_f1: 0.2281
 epoch: 3, train_loss: 1.1073, test_loss: 1.1906, test_f1: 0.4386
 epoch: 4, train_loss: 1.0335, test_loss: 1.1504, test_f1: 0.4191
 epoch: 5, train_loss: 0.9642, test_loss: 1.1078, test_f1: 0.3871
 epoch: 6, train_loss: 0.9515, test_loss: 1.0438, test_f1: 0.4593
 epoch: 7, train_loss: 0.9223, test_loss: 1.0996, test_f1: 0.4775
 epoch: 8, train_loss: 0.8721, test_loss: 1.0699, test_f1: 0.5440
 epoch: 9, train_loss: 0.8785, test_loss: 1.3447, test_f1: 0.3536
 epoch: 10, train_loss: 0.8861, test_loss: 1.0189, test_f1: 0.5704
 epoch: 11, train_loss: 0.8546, test_loss: 1.0184, test_f1: 0.5437
 epoch: 12, train_loss: 0.8159, test_loss: 0.9613, test_f1: 0.5684
 epoch: 13, train_loss: 0.8367, test_loss: 0.9464, test_f1: 0.5443
 epoch: 14, train_loss: 0.8115, test_loss: 0.9089, test_f1: 0.5190
 epoch: 15, train_loss: 0.7799, test_loss: 1.0213, test_f1: 0.5038
 epoch: 16, train_loss: 0.7683, test_loss: 1.0977, test_f1: 0.4907
 epoch: 17, train_loss: 0.7815, test_loss: 0.9105, test_f1: 0.5424
 epoch: 18, train_loss: 0.7941, test_loss: 1.0010, test_f1: 0.4916
 epoch: 19, train_loss: 0.7758, test_loss: 1.0602, test_f1: 0.4714
 epoch: 20, train_loss: 0.7827, test_loss: 0.8885, test_f1: 0.5973
 epoch: 21, train_loss: 0.7770, test_loss: 0.9643, test_f1: 0.5592
 epoch: 22, train_loss: 0.7546, test_loss: 0.9818, test_f1: 0.5164
 epoch: 23, train_loss: 0.7344, test_loss: 0.8791, test_f1: 0.6322
 epoch: 24, train_loss: 0.7669, test_loss: 0.8943, test_f1: 0.5981
 epoch: 25, train_loss: 0.7283, test_loss: 0.9711, test_f1: 0.6145
 epoch: 26, train_loss: 0.7341, test_loss: 1.0658, test_f1: 0.5275
 epoch: 27, train_loss: 0.7329, test_loss: 0.9007, test_f1: 0.6429
 epoch: 28, train_loss: 0.7436, test_loss: 1.0030, test_f1: 0.5691
 epoch: 29, train_loss: 0.7269, test_loss: 1.0869, test_f1: 0.5626
 epoch: 30, train_loss: 0.7207, test_loss: 1.1289, test_f1: 0.5258
 epoch: 31, train_loss: 0.7203, test_loss: 1.0950, test_f1: 0.5875
 epoch: 32, train_loss: 0.7249, test_loss: 0.9206, test_f1: 0.6440
 epoch: 33, train_loss: 0.7548, test_loss: 1.0068, test_f1: 0.5928
 epoch: 34, train_loss: 0.7465, test_loss: 0.9576, test_f1: 0.5426
 epoch: 35, train_loss: 0.7209, test_loss: 0.9171, test_f1: 0.6076
 epoch: 36, train_loss: 0.7123, test_loss: 1.0710, test_f1: 0.5386
 epoch: 37, train_loss: 0.7286, test_loss: 1.0505, test_f1: 0.6415
 epoch: 38, train_loss: 0.7131, test_loss: 0.9559, test_f1: 0.6441
 epoch: 39, train_loss: 0.6900, test_loss: 0.9000, test_f1: 0.6490
 epoch: 40, train_loss: 0.7036, test_loss: 1.0125, test_f1: 0.6465
