STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_pin_net --model FEGIN --layers 2 --hiddens 128 --batch_size 256 --lr 0.1 --emb_size 250 --epochs 100 --save_appendix component_pin_net_L2_H128_BS256_LR0.1_E250 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 2 layers, 128 hidden units, h = 2
Loading component_pin_net representation dataset
dataset loaded 16 4 1948
ENTERED
Training FEGIN on component_pin_net representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 19.5428, test_loss: 332.9034, test_f1: 0.2281
 epoch: 1, train_loss: 1.3389, test_loss: 35.2655, test_f1: 0.3092
 epoch: 2, train_loss: 1.2966, test_loss: 1.7418, test_f1: 0.2689
 epoch: 3, train_loss: 1.2656, test_loss: 1.3638, test_f1: 0.3217
 epoch: 4, train_loss: 1.2392, test_loss: 1.2996, test_f1: 0.3179
 epoch: 5, train_loss: 1.2083, test_loss: 1.2999, test_f1: 0.2285
 epoch: 6, train_loss: 1.2422, test_loss: 1.3089, test_f1: 0.2285
 epoch: 7, train_loss: 1.1985, test_loss: 1.2158, test_f1: 0.3935
 epoch: 8, train_loss: 1.1599, test_loss: 1.2118, test_f1: 0.3402
 epoch: 9, train_loss: 1.1520, test_loss: 1.1807, test_f1: 0.3252
 epoch: 10, train_loss: 1.1324, test_loss: 1.1574, test_f1: 0.3327
 epoch: 11, train_loss: 1.1431, test_loss: 1.1235, test_f1: 0.3452
 epoch: 12, train_loss: 1.1146, test_loss: 1.1542, test_f1: 0.3272
 epoch: 13, train_loss: 1.1268, test_loss: 1.1100, test_f1: 0.3590
 epoch: 14, train_loss: 1.1416, test_loss: 1.1737, test_f1: 0.3195
 epoch: 15, train_loss: 1.1589, test_loss: 1.1485, test_f1: 0.3854
 epoch: 16, train_loss: 1.1330, test_loss: 1.1111, test_f1: 0.3454
 epoch: 17, train_loss: 1.1302, test_loss: 1.1263, test_f1: 0.3395
 epoch: 18, train_loss: 1.1314, test_loss: 1.1155, test_f1: 0.4405
 epoch: 19, train_loss: 1.1023, test_loss: 1.1172, test_f1: 0.3395
 epoch: 20, train_loss: 1.1196, test_loss: 1.1178, test_f1: 0.3395
 epoch: 21, train_loss: 1.1126, test_loss: 1.1205, test_f1: 0.3712
 epoch: 22, train_loss: 1.1135, test_loss: 1.1303, test_f1: 0.3395
 epoch: 23, train_loss: 1.1214, test_loss: 1.1097, test_f1: 0.3395
 epoch: 24, train_loss: 1.0974, test_loss: 1.1125, test_f1: 0.3974
 epoch: 25, train_loss: 1.1179, test_loss: 1.1347, test_f1: 0.3317
 epoch: 26, train_loss: 1.1224, test_loss: 1.1297, test_f1: 0.4332
 epoch: 27, train_loss: 1.1253, test_loss: 1.1028, test_f1: 0.3420
 epoch: 28, train_loss: 1.1271, test_loss: 1.1169, test_f1: 0.3360
 epoch: 29, train_loss: 1.1378, test_loss: 1.1482, test_f1: 0.3581
 epoch: 30, train_loss: 1.1464, test_loss: 1.1479, test_f1: 0.3317
 epoch: 31, train_loss: 1.1171, test_loss: 1.1384, test_f1: 0.3262
 epoch: 32, train_loss: 1.1315, test_loss: 1.0991, test_f1: 0.3390
 epoch: 33, train_loss: 1.1221, test_loss: 1.1095, test_f1: 0.4352
 epoch: 34, train_loss: 1.0966, test_loss: 1.1012, test_f1: 0.3793
 epoch: 35, train_loss: 1.1365, test_loss: 1.1123, test_f1: 0.4278
 epoch: 36, train_loss: 1.1315, test_loss: 1.1058, test_f1: 0.4015
 epoch: 37, train_loss: 1.1221, test_loss: 1.1025, test_f1: 0.3351
 epoch: 38, train_loss: 1.0964, test_loss: 1.1229, test_f1: 0.3395
 epoch: 39, train_loss: 1.1287, test_loss: 1.1174, test_f1: 0.3395
 epoch: 40, train_loss: 1.1036, test_loss: 1.1153, test_f1: 0.3381
 epoch: 41, train_loss: 1.0950, test_loss: 1.1031, test_f1: 0.4185
 epoch: 42, train_loss: 1.1248, test_loss: 1.1055, test_f1: 0.3400
 epoch: 43, train_loss: 1.0995, test_loss: 1.1042, test_f1: 0.3395
 epoch: 44, train_loss: 1.1102, test_loss: 1.1060, test_f1: 0.3395
 epoch: 45, train_loss: 1.1110, test_loss: 1.0981, test_f1: 0.3939
 epoch: 46, train_loss: 1.0974, test_loss: 1.1130, test_f1: 0.3395
 epoch: 47, train_loss: 1.1062, test_loss: 1.0905, test_f1: 0.3468
 epoch: 48, train_loss: 1.0948, test_loss: 1.1549, test_f1: 0.3498
 epoch: 49, train_loss: 1.1530, test_loss: 1.2341, test_f1: 0.2281
 epoch: 50, train_loss: 1.1747, test_loss: 1.2293, test_f1: 0.2281
 epoch: 51, train_loss: 1.1617, test_loss: 1.2254, test_f1: 0.2281
 epoch: 52, train_loss: 1.1588, test_loss: 1.2132, test_f1: 0.2281
 epoch: 53, train_loss: 1.1449, test_loss: 1.2126, test_f1: 0.2281
 epoch: 54, train_loss: 1.1485, test_loss: 1.2115, test_f1: 0.2281
 epoch: 55, train_loss: 1.1481, test_loss: 1.2007, test_f1: 0.3183
 epoch: 56, train_loss: 1.1442, test_loss: 1.1923, test_f1: 0.3219
 epoch: 57, train_loss: 1.1261, test_loss: 1.1976, test_f1: 0.4224
 epoch: 58, train_loss: 1.1481, test_loss: 1.1855, test_f1: 0.3318
 epoch: 59, train_loss: 1.1546, test_loss: 1.1835, test_f1: 0.3321
 epoch: 60, train_loss: 1.1552, test_loss: 1.2252, test_f1: 0.2966
 epoch: 61, train_loss: 1.1484, test_loss: 1.1861, test_f1: 0.3284
 epoch: 62, train_loss: 1.1377, test_loss: 1.2018, test_f1: 0.4186
