STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_component --model FEGIN --layers 4 --hiddens 128 --batch_size 128 --lr 0.0001 --emb_size 128 --epochs 100 --save_appendix component_component_L4_H128_BS128_LR0.0001_E128 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 4 layers, 128 hidden units, h = 2
Loading component_component representation dataset
dataset loaded 2 4 1948
ENTERED
Training FEGIN on component_component representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.3866, test_loss: 1.3886, test_f1: 0.1446
 epoch: 1, train_loss: 1.3605, test_loss: 1.3798, test_f1: 0.1365
 epoch: 2, train_loss: 1.3412, test_loss: 1.3659, test_f1: 0.1365
 epoch: 3, train_loss: 1.3200, test_loss: 1.3517, test_f1: 0.3187
 epoch: 4, train_loss: 1.2987, test_loss: 1.3318, test_f1: 0.3369
 epoch: 5, train_loss: 1.2720, test_loss: 1.3147, test_f1: 0.3588
 epoch: 6, train_loss: 1.2453, test_loss: 1.3065, test_f1: 0.3458
 epoch: 7, train_loss: 1.2264, test_loss: 1.2993, test_f1: 0.3254
 epoch: 8, train_loss: 1.2127, test_loss: 1.3338, test_f1: 0.3367
 epoch: 9, train_loss: 1.1992, test_loss: 1.2939, test_f1: 0.3117
 epoch: 10, train_loss: 1.1840, test_loss: 1.2999, test_f1: 0.2856
 epoch: 11, train_loss: 1.1834, test_loss: 1.2938, test_f1: 0.3058
 epoch: 12, train_loss: 1.1741, test_loss: 1.2968, test_f1: 0.3371
 epoch: 13, train_loss: 1.1687, test_loss: 1.2771, test_f1: 0.3316
 epoch: 14, train_loss: 1.1624, test_loss: 1.2806, test_f1: 0.3329
 epoch: 15, train_loss: 1.1524, test_loss: 1.3584, test_f1: 0.3191
 epoch: 16, train_loss: 1.1447, test_loss: 1.2746, test_f1: 0.3242
 epoch: 17, train_loss: 1.1486, test_loss: 1.3547, test_f1: 0.3271
 epoch: 18, train_loss: 1.1358, test_loss: 1.3294, test_f1: 0.3374
 epoch: 19, train_loss: 1.1260, test_loss: 1.3634, test_f1: 0.3759
 epoch: 20, train_loss: 1.1247, test_loss: 1.2970, test_f1: 0.3704
 epoch: 21, train_loss: 1.1183, test_loss: 1.2658, test_f1: 0.3684
 epoch: 22, train_loss: 1.1098, test_loss: 1.3256, test_f1: 0.3802
 epoch: 23, train_loss: 1.1047, test_loss: 1.2338, test_f1: 0.4115
