STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_net --model FEGIN --layers 5 --hiddens 128 --batch_size 256 --lr 0.001 --emb_size 512 --epochs 100 --save_appendix component_net_L5_H128_BS256_LR0.001_E512 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 5 layers, 128 hidden units, h = 2
Loading component_net representation dataset
dataset loaded 3 4 1948
ENTERED
Training FEGIN on component_net representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.3111, test_loss: 1.3462, test_f1: 0.1374
 epoch: 1, train_loss: 1.1703, test_loss: 1.3049, test_f1: 0.3232
 epoch: 2, train_loss: 1.1223, test_loss: 1.2587, test_f1: 0.2722
 epoch: 3, train_loss: 1.0923, test_loss: 1.2274, test_f1: 0.2390
 epoch: 4, train_loss: 1.0600, test_loss: 1.2021, test_f1: 0.3561
 epoch: 5, train_loss: 1.0228, test_loss: 1.1969, test_f1: 0.4378
 epoch: 6, train_loss: 0.9964, test_loss: 1.1715, test_f1: 0.3991
 epoch: 7, train_loss: 0.9657, test_loss: 1.1123, test_f1: 0.3989
 epoch: 8, train_loss: 0.9331, test_loss: 1.1112, test_f1: 0.5320
 epoch: 9, train_loss: 0.9296, test_loss: 1.1665, test_f1: 0.4402
 epoch: 10, train_loss: 0.9042, test_loss: 1.1595, test_f1: 0.5097
 epoch: 11, train_loss: 0.8988, test_loss: 1.2481, test_f1: 0.4774
 epoch: 12, train_loss: 0.9021, test_loss: 1.2827, test_f1: 0.4504
 epoch: 13, train_loss: 0.9134, test_loss: 1.1401, test_f1: 0.5524
 epoch: 14, train_loss: 0.8790, test_loss: 1.1414, test_f1: 0.4994
 epoch: 15, train_loss: 0.8762, test_loss: 1.0760, test_f1: 0.5627
 epoch: 16, train_loss: 0.8506, test_loss: 1.1311, test_f1: 0.5571
 epoch: 17, train_loss: 0.8419, test_loss: 1.1802, test_f1: 0.5157
 epoch: 18, train_loss: 0.8579, test_loss: 1.0444, test_f1: 0.5740
 epoch: 19, train_loss: 0.8584, test_loss: 1.1606, test_f1: 0.4993
 epoch: 20, train_loss: 0.8409, test_loss: 1.1140, test_f1: 0.5306
 epoch: 21, train_loss: 0.8519, test_loss: 1.1140, test_f1: 0.5746
 epoch: 22, train_loss: 0.8485, test_loss: 1.1129, test_f1: 0.5628
 epoch: 23, train_loss: 0.8230, test_loss: 1.2950, test_f1: 0.5133
 epoch: 24, train_loss: 0.8252, test_loss: 1.0818, test_f1: 0.5721
 epoch: 25, train_loss: 0.8042, test_loss: 1.1225, test_f1: 0.5669
 epoch: 26, train_loss: 0.8055, test_loss: 1.1596, test_f1: 0.5752
 epoch: 27, train_loss: 0.8098, test_loss: 1.2321, test_f1: 0.5738
 epoch: 28, train_loss: 0.8277, test_loss: 1.1218, test_f1: 0.5736
 epoch: 29, train_loss: 0.7916, test_loss: 1.0370, test_f1: 0.5543
 epoch: 30, train_loss: 0.8115, test_loss: 1.0456, test_f1: 0.5853
 epoch: 31, train_loss: 0.7828, test_loss: 1.1427, test_f1: 0.5829
 epoch: 32, train_loss: 0.7731, test_loss: 1.2002, test_f1: 0.5597
 epoch: 33, train_loss: 0.7542, test_loss: 1.2442, test_f1: 0.5830
 epoch: 34, train_loss: 0.7532, test_loss: 1.1951, test_f1: 0.5758
 epoch: 35, train_loss: 0.7610, test_loss: 1.1616, test_f1: 0.5924
 epoch: 36, train_loss: 0.7597, test_loss: 1.3052, test_f1: 0.5233
 epoch: 37, train_loss: 0.7444, test_loss: 1.1564, test_f1: 0.5964
 epoch: 38, train_loss: 0.7421, test_loss: 1.2078, test_f1: 0.5558
 epoch: 39, train_loss: 0.7577, test_loss: 1.4016, test_f1: 0.5201
 epoch: 40, train_loss: 0.7314, test_loss: 1.2249, test_f1: 0.5081
 epoch: 41, train_loss: 0.7349, test_loss: 1.2664, test_f1: 0.5623
 epoch: 42, train_loss: 0.7293, test_loss: 1.2669, test_f1: 0.6014
 epoch: 43, train_loss: 0.7362, test_loss: 1.2530, test_f1: 0.5589
 epoch: 44, train_loss: 0.7718, test_loss: 1.2111, test_f1: 0.5204
 epoch: 45, train_loss: 0.7492, test_loss: 1.4265, test_f1: 0.4833
 epoch: 46, train_loss: 0.7428, test_loss: 1.3399, test_f1: 0.5202
 epoch: 47, train_loss: 0.7320, test_loss: 1.2293, test_f1: 0.6043
 epoch: 48, train_loss: 0.7179, test_loss: 1.2294, test_f1: 0.5859
 epoch: 49, train_loss: 0.7102, test_loss: 1.2161, test_f1: 0.5800
 epoch: 50, train_loss: 0.7000, test_loss: 1.2508, test_f1: 0.5722
 epoch: 51, train_loss: 0.6932, test_loss: 1.1796, test_f1: 0.5878
 epoch: 52, train_loss: 0.6752, test_loss: 1.2477, test_f1: 0.5791
 epoch: 53, train_loss: 0.6690, test_loss: 1.2668, test_f1: 0.5609
 epoch: 54, train_loss: 0.6564, test_loss: 1.3103, test_f1: 0.5995
 epoch: 55, train_loss: 0.6654, test_loss: 1.3002, test_f1: 0.6022
 epoch: 56, train_loss: 0.6643, test_loss: 1.3300, test_f1: 0.5490
 epoch: 57, train_loss: 0.6633, test_loss: 1.3150, test_f1: 0.5804
 epoch: 58, train_loss: 0.6619, test_loss: 1.3752, test_f1: 0.5636
 epoch: 59, train_loss: 0.6496, test_loss: 1.3266, test_f1: 0.5569
 epoch: 60, train_loss: 0.6354, test_loss: 1.3533, test_f1: 0.5604
 epoch: 61, train_loss: 0.6395, test_loss: 1.3463, test_f1: 0.5488
 epoch: 62, train_loss: 0.6250, test_loss: 1.4456, test_f1: 0.5783
 epoch: 63, train_loss: 0.6403, test_loss: 1.4111, test_f1: 0.5754
 epoch: 64, train_loss: 0.6232, test_loss: 1.4286, test_f1: 0.5610
 epoch: 65, train_loss: 0.6107, test_loss: 1.4515, test_f1: 0.5755
 epoch: 66, train_loss: 0.6201, test_loss: 1.4977, test_f1: 0.6043
 epoch: 67, train_loss: 0.6284, test_loss: 1.4840, test_f1: 0.6029
 epoch: 68, train_loss: 0.6706, test_loss: 1.5955, test_f1: 0.5678
 epoch: 69, train_loss: 0.6439, test_loss: 1.6960, test_f1: 0.5518
 epoch: 70, train_loss: 0.6373, test_loss: 1.7081, test_f1: 0.5289
 epoch: 71, train_loss: 0.6283, test_loss: 1.4961, test_f1: 0.5460
 epoch: 72, train_loss: 0.6367, test_loss: 1.5112, test_f1: 0.6130
 epoch: 73, train_loss: 0.6517, test_loss: 1.5728, test_f1: 0.6077
 epoch: 74, train_loss: 0.6239, test_loss: 1.5668, test_f1: 0.5849
 epoch: 75, train_loss: 0.6455, test_loss: 1.4542, test_f1: 0.5690
 epoch: 76, train_loss: 0.6102, test_loss: 1.5482, test_f1: 0.5613
 epoch: 77, train_loss: 0.6228, test_loss: 1.5091, test_f1: 0.5588
 epoch: 78, train_loss: 0.6264, test_loss: 1.5176, test_f1: 0.5739
 epoch: 79, train_loss: 0.5969, test_loss: 1.4534, test_f1: 0.6076
 epoch: 80, train_loss: 0.5975, test_loss: 1.4826, test_f1: 0.5944
 epoch: 81, train_loss: 0.5998, test_loss: 1.4648, test_f1: 0.5808
 epoch: 82, train_loss: 0.6013, test_loss: 1.4780, test_f1: 0.5897
 epoch: 83, train_loss: 0.5876, test_loss: 1.5217, test_f1: 0.5925
 epoch: 84, train_loss: 0.5874, test_loss: 1.5533, test_f1: 0.5875
 epoch: 85, train_loss: 0.5812, test_loss: 1.7439, test_f1: 0.5678
 epoch: 86, train_loss: 0.6306, test_loss: 1.6394, test_f1: 0.5995
 epoch: 87, train_loss: 0.6340, test_loss: 1.5790, test_f1: 0.5730
 epoch: 88, train_loss: 0.6209, test_loss: 1.5299, test_f1: 0.5850
 epoch: 89, train_loss: 0.6049, test_loss: 1.5699, test_f1: 0.6066
 epoch: 90, train_loss: 0.5978, test_loss: 1.6019, test_f1: 0.5985
 epoch: 91, train_loss: 0.6124, test_loss: 1.5263, test_f1: 0.6028
 epoch: 92, train_loss: 0.5882, test_loss: 1.5533, test_f1: 0.5971
 epoch: 93, train_loss: 0.5819, test_loss: 1.5198, test_f1: 0.6246
 epoch: 94, train_loss: 0.5777, test_loss: 1.5704, test_f1: 0.6162
 epoch: 95, train_loss: 0.5857, test_loss: 1.5544, test_f1: 0.5992
 epoch: 96, train_loss: 0.5805, test_loss: 1.7090, test_f1: 0.5759
 epoch: 97, train_loss: 0.5794, test_loss: 1.6103, test_f1: 0.5764
 epoch: 98, train_loss: 0.5615, test_loss: 1.5681, test_f1: 0.5872
 epoch: 99, train_loss: 0.5538, test_loss: 1.7126, test_f1: 0.5762
##################ITERATION #1 ****************************************
 epoch: 0, train_loss: 1.2152, test_loss: 1.3052, test_f1: 0.2131
 epoch: 1, train_loss: 1.0730, test_loss: 1.2818, test_f1: 0.3232
 epoch: 2, train_loss: 1.0124, test_loss: 1.2573, test_f1: 0.2876
 epoch: 3, train_loss: 0.9823, test_loss: 1.2671, test_f1: 0.3268
 epoch: 4, train_loss: 0.9659, test_loss: 1.5567, test_f1: 0.2106
 epoch: 5, train_loss: 0.9495, test_loss: 1.2543, test_f1: 0.3564
 epoch: 6, train_loss: 0.9295, test_loss: 1.2017, test_f1: 0.4136
 epoch: 7, train_loss: 0.9033, test_loss: 1.1431, test_f1: 0.4140
 epoch: 8, train_loss: 0.8981, test_loss: 1.0446, test_f1: 0.5343
 epoch: 9, train_loss: 0.8746, test_loss: 1.0452, test_f1: 0.5424
 epoch: 10, train_loss: 0.8660, test_loss: 1.0496, test_f1: 0.5101
 epoch: 11, train_loss: 0.8771, test_loss: 1.1765, test_f1: 0.5023
 epoch: 12, train_loss: 0.8623, test_loss: 1.1552, test_f1: 0.5322
 epoch: 13, train_loss: 0.8547, test_loss: 1.1965, test_f1: 0.5006
 epoch: 14, train_loss: 0.8384, test_loss: 1.1411, test_f1: 0.5242
 epoch: 15, train_loss: 0.8331, test_loss: 1.1779, test_f1: 0.5361
 epoch: 16, train_loss: 0.9070, test_loss: 1.1885, test_f1: 0.5093
 epoch: 17, train_loss: 0.8850, test_loss: 1.2383, test_f1: 0.4456
 epoch: 18, train_loss: 0.8559, test_loss: 1.2093, test_f1: 0.5346
 epoch: 19, train_loss: 0.8278, test_loss: 1.2174, test_f1: 0.5224
 epoch: 20, train_loss: 0.8125, test_loss: 1.0817, test_f1: 0.5466
 epoch: 21, train_loss: 0.7985, test_loss: 1.0596, test_f1: 0.5586
 epoch: 22, train_loss: 0.7959, test_loss: 1.1553, test_f1: 0.5787
 epoch: 23, train_loss: 0.7798, test_loss: 1.1342, test_f1: 0.5795
 epoch: 24, train_loss: 0.7787, test_loss: 1.2526, test_f1: 0.5036
 epoch: 25, train_loss: 0.7900, test_loss: 1.3079, test_f1: 0.5097
 epoch: 26, train_loss: 0.7803, test_loss: 1.2986, test_f1: 0.4876
 epoch: 27, train_loss: 0.7859, test_loss: 1.1866, test_f1: 0.4954
 epoch: 28, train_loss: 0.7746, test_loss: 1.1753, test_f1: 0.5290
 epoch: 29, train_loss: 0.7754, test_loss: 1.2422, test_f1: 0.4880
 epoch: 30, train_loss: 0.7729, test_loss: 1.2193, test_f1: 0.4946
 epoch: 31, train_loss: 0.7584, test_loss: 1.2338, test_f1: 0.5560
 epoch: 32, train_loss: 0.7588, test_loss: 1.2706, test_f1: 0.5665
 epoch: 33, train_loss: 0.7359, test_loss: 1.4495, test_f1: 0.5554
 epoch: 34, train_loss: 0.7385, test_loss: 1.3206, test_f1: 0.5476
 epoch: 35, train_loss: 0.7542, test_loss: 1.2693, test_f1: 0.5483
 epoch: 36, train_loss: 0.7438, test_loss: 1.2733, test_f1: 0.5227
 epoch: 37, train_loss: 0.7330, test_loss: 1.3193, test_f1: 0.5704
 epoch: 38, train_loss: 0.7229, test_loss: 1.4988, test_f1: 0.5402
 epoch: 39, train_loss: 0.7423, test_loss: 1.3863, test_f1: 0.5273
 epoch: 40, train_loss: 0.7489, test_loss: 1.3460, test_f1: 0.5347
 epoch: 41, train_loss: 0.7704, test_loss: 1.2032, test_f1: 0.5327
 epoch: 42, train_loss: 0.7478, test_loss: 1.2685, test_f1: 0.5436
 epoch: 43, train_loss: 0.7447, test_loss: 1.2917, test_f1: 0.5363
 epoch: 44, train_loss: 0.7503, test_loss: 1.2429, test_f1: 0.5595
 epoch: 45, train_loss: 0.7589, test_loss: 1.2801, test_f1: 0.5443
 epoch: 46, train_loss: 0.7464, test_loss: 1.2802, test_f1: 0.5772
 epoch: 47, train_loss: 0.7504, test_loss: 1.1742, test_f1: 0.5594
 epoch: 48, train_loss: 0.7221, test_loss: 1.3810, test_f1: 0.5748
 epoch: 49, train_loss: 0.7190, test_loss: 1.3080, test_f1: 0.5589
 epoch: 50, train_loss: 0.7015, test_loss: 1.2413, test_f1: 0.5502
 epoch: 51, train_loss: 0.6955, test_loss: 1.2299, test_f1: 0.5621
 epoch: 52, train_loss: 0.6950, test_loss: 1.2421, test_f1: 0.5643
 epoch: 53, train_loss: 0.6910, test_loss: 1.2277, test_f1: 0.6008
 epoch: 54, train_loss: 0.6761, test_loss: 1.2882, test_f1: 0.5780
 epoch: 55, train_loss: 0.6693, test_loss: 1.2819, test_f1: 0.5827
 epoch: 56, train_loss: 0.6442, test_loss: 1.3361, test_f1: 0.5762
 epoch: 57, train_loss: 0.6662, test_loss: 1.3469, test_f1: 0.5527
 epoch: 58, train_loss: 0.6460, test_loss: 1.2534, test_f1: 0.5709
 epoch: 59, train_loss: 0.6559, test_loss: 1.3723, test_f1: 0.5557
 epoch: 60, train_loss: 0.6403, test_loss: 1.4583, test_f1: 0.5561
 epoch: 61, train_loss: 0.6552, test_loss: 1.6459, test_f1: 0.5474
 epoch: 62, train_loss: 0.6539, test_loss: 1.4934, test_f1: 0.5364
 epoch: 63, train_loss: 0.6374, test_loss: 1.3730, test_f1: 0.5644
 epoch: 64, train_loss: 0.6224, test_loss: 1.5075, test_f1: 0.5571
 epoch: 65, train_loss: 0.6302, test_loss: 1.6257, test_f1: 0.5444
 epoch: 66, train_loss: 0.6338, test_loss: 1.5362, test_f1: 0.5657
 epoch: 67, train_loss: 0.6335, test_loss: 1.4021, test_f1: 0.5498
 epoch: 68, train_loss: 0.6243, test_loss: 1.5022, test_f1: 0.5615
 epoch: 69, train_loss: 0.6304, test_loss: 1.6469, test_f1: 0.5372
 epoch: 70, train_loss: 0.6494, test_loss: 1.5792, test_f1: 0.5543
 epoch: 71, train_loss: 0.6446, test_loss: 1.4087, test_f1: 0.5828
 epoch: 72, train_loss: 0.6550, test_loss: 1.4401, test_f1: 0.5910
 epoch: 73, train_loss: 0.6712, test_loss: 1.5176, test_f1: 0.5376
 epoch: 74, train_loss: 0.6696, test_loss: 1.4053, test_f1: 0.5519
 epoch: 75, train_loss: 0.6425, test_loss: 1.3981, test_f1: 0.5434
 epoch: 76, train_loss: 0.6373, test_loss: 1.4719, test_f1: 0.5374
 epoch: 77, train_loss: 0.6163, test_loss: 1.4530, test_f1: 0.5580
 epoch: 78, train_loss: 0.6023, test_loss: 1.3632, test_f1: 0.5687
 epoch: 79, train_loss: 0.6270, test_loss: 1.4773, test_f1: 0.5674
 epoch: 80, train_loss: 0.6317, test_loss: 1.5975, test_f1: 0.5526
 epoch: 81, train_loss: 0.6219, test_loss: 1.6574, test_f1: 0.5549
 epoch: 82, train_loss: 0.6108, test_loss: 1.6289, test_f1: 0.5643
 epoch: 83, train_loss: 0.5984, test_loss: 1.5783, test_f1: 0.5603
 epoch: 84, train_loss: 0.6045, test_loss: 1.6328, test_f1: 0.5421
 epoch: 85, train_loss: 0.6059, test_loss: 1.5885, test_f1: 0.5619
 epoch: 86, train_loss: 0.5920, test_loss: 1.4696, test_f1: 0.5620
 epoch: 87, train_loss: 0.6023, test_loss: 1.5202, test_f1: 0.5648
 epoch: 88, train_loss: 0.6005, test_loss: 1.6023, test_f1: 0.5527
 epoch: 89, train_loss: 0.6113, test_loss: 1.6824, test_f1: 0.5641
 epoch: 90, train_loss: 0.6123, test_loss: 1.6512, test_f1: 0.5458
 epoch: 91, train_loss: 0.6012, test_loss: 1.6098, test_f1: 0.5408
 epoch: 92, train_loss: 0.5969, test_loss: 1.4797, test_f1: 0.5660
 epoch: 93, train_loss: 0.5907, test_loss: 1.5045, test_f1: 0.5808
 epoch: 94, train_loss: 0.6100, test_loss: 1.6501, test_f1: 0.5481
 epoch: 95, train_loss: 0.6090, test_loss: 1.5323, test_f1: 0.5463
 epoch: 96, train_loss: 0.5890, test_loss: 1.4252, test_f1: 0.5854
 epoch: 97, train_loss: 0.5786, test_loss: 1.5013, test_f1: 0.5910
 epoch: 98, train_loss: 0.5783, test_loss: 1.4975, test_f1: 0.5932
 epoch: 99, train_loss: 0.5710, test_loss: 1.5406, test_f1: 0.5718
##################ITERATION #2 ****************************************
 epoch: 0, train_loss: 1.1807, test_loss: 1.2868, test_f1: 0.2971
 epoch: 1, train_loss: 1.0732, test_loss: 1.2603, test_f1: 0.2723
 epoch: 2, train_loss: 1.0055, test_loss: 1.2184, test_f1: 0.2889
 epoch: 3, train_loss: 0.9732, test_loss: 1.1992, test_f1: 0.4436
 epoch: 4, train_loss: 0.9606, test_loss: 1.2301, test_f1: 0.3989
 epoch: 5, train_loss: 0.9571, test_loss: 1.2807, test_f1: 0.3400
 epoch: 6, train_loss: 0.9354, test_loss: 1.1578, test_f1: 0.4030
 epoch: 7, train_loss: 0.8991, test_loss: 1.1683, test_f1: 0.3911
 epoch: 8, train_loss: 0.9158, test_loss: 1.1518, test_f1: 0.5013
 epoch: 9, train_loss: 0.8910, test_loss: 1.2991, test_f1: 0.4678
 epoch: 10, train_loss: 0.9196, test_loss: 1.1495, test_f1: 0.5242
 epoch: 11, train_loss: 0.8905, test_loss: 1.0663, test_f1: 0.5234
 epoch: 12, train_loss: 0.8838, test_loss: 1.0768, test_f1: 0.5493
 epoch: 13, train_loss: 0.8636, test_loss: 1.1268, test_f1: 0.5067
 epoch: 14, train_loss: 0.8614, test_loss: 1.1235, test_f1: 0.5357
 epoch: 15, train_loss: 0.8511, test_loss: 1.0876, test_f1: 0.4965
 epoch: 16, train_loss: 0.8404, test_loss: 1.1696, test_f1: 0.5153
 epoch: 17, train_loss: 0.8649, test_loss: 1.0894, test_f1: 0.5502
 epoch: 18, train_loss: 0.8605, test_loss: 1.1739, test_f1: 0.5362
 epoch: 19, train_loss: 0.8457, test_loss: 1.1013, test_f1: 0.5677
 epoch: 20, train_loss: 0.8191, test_loss: 1.0862, test_f1: 0.5724
 epoch: 21, train_loss: 0.8227, test_loss: 1.1201, test_f1: 0.5526
 epoch: 22, train_loss: 0.8022, test_loss: 1.0776, test_f1: 0.5611
 epoch: 23, train_loss: 0.8073, test_loss: 1.1972, test_f1: 0.5237
 epoch: 24, train_loss: 0.8418, test_loss: 1.2580, test_f1: 0.5156
 epoch: 25, train_loss: 0.7913, test_loss: 1.3021, test_f1: 0.4947
 epoch: 26, train_loss: 0.7877, test_loss: 1.2793, test_f1: 0.5161
 epoch: 27, train_loss: 0.7949, test_loss: 1.2307, test_f1: 0.5170
 epoch: 28, train_loss: 0.8038, test_loss: 1.2884, test_f1: 0.5326
 epoch: 29, train_loss: 0.7957, test_loss: 1.2119, test_f1: 0.5452
 epoch: 30, train_loss: 0.7976, test_loss: 1.2542, test_f1: 0.5181
 epoch: 31, train_loss: 0.8010, test_loss: 1.2031, test_f1: 0.5331
 epoch: 32, train_loss: 0.7662, test_loss: 1.1920, test_f1: 0.5372
 epoch: 33, train_loss: 0.7492, test_loss: 1.2295, test_f1: 0.5171
 epoch: 34, train_loss: 0.7594, test_loss: 1.2916, test_f1: 0.4940
 epoch: 35, train_loss: 0.7548, test_loss: 1.2617, test_f1: 0.5460
 epoch: 36, train_loss: 0.7534, test_loss: 1.2796, test_f1: 0.5233
 epoch: 37, train_loss: 0.7727, test_loss: 1.2775, test_f1: 0.5487
 epoch: 38, train_loss: 0.7476, test_loss: 1.3038, test_f1: 0.5672
 epoch: 39, train_loss: 0.7361, test_loss: 1.3197, test_f1: 0.5410
 epoch: 40, train_loss: 0.7238, test_loss: 1.3071, test_f1: 0.5730
 epoch: 41, train_loss: 0.7192, test_loss: 1.2568, test_f1: 0.5644
 epoch: 42, train_loss: 0.7520, test_loss: 1.2312, test_f1: 0.5465
 epoch: 43, train_loss: 0.7295, test_loss: 1.3653, test_f1: 0.5327
 epoch: 44, train_loss: 0.7332, test_loss: 1.2371, test_f1: 0.5437
 epoch: 45, train_loss: 0.7289, test_loss: 1.2181, test_f1: 0.5584
 epoch: 46, train_loss: 0.7321, test_loss: 1.2810, test_f1: 0.5405
 epoch: 47, train_loss: 0.7243, test_loss: 1.2008, test_f1: 0.5652
