STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_pin --model FEGIN --layers 4 --hiddens 128 --batch_size 64 --lr 0.001 --emb_size 128 --epochs 100 --save_appendix component_pin_L4_H128_BS64_LR0.001_E128 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 4 layers, 128 hidden units, h = 2
Loading component_pin representation dataset
dataset loaded 16 4 1948
ENTERED
Training FEGIN on component_pin representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.2534, test_loss: 1.3251, test_f1: 0.2587
 epoch: 1, train_loss: 1.1131, test_loss: 1.3785, test_f1: 0.3401
 epoch: 2, train_loss: 0.9997, test_loss: 1.2738, test_f1: 0.3887
 epoch: 3, train_loss: 0.9349, test_loss: 1.0056, test_f1: 0.5541
 epoch: 4, train_loss: 0.8850, test_loss: 1.1094, test_f1: 0.4377
 epoch: 5, train_loss: 0.8410, test_loss: 1.0049, test_f1: 0.5120
 epoch: 6, train_loss: 0.7983, test_loss: 0.9897, test_f1: 0.5859
 epoch: 7, train_loss: 0.7821, test_loss: 0.9505, test_f1: 0.5512
 epoch: 8, train_loss: 0.7335, test_loss: 1.5350, test_f1: 0.4009
 epoch: 9, train_loss: 0.7138, test_loss: 1.1912, test_f1: 0.5489
 epoch: 10, train_loss: 0.6843, test_loss: 1.3495, test_f1: 0.4123
 epoch: 11, train_loss: 0.6668, test_loss: 1.1819, test_f1: 0.5558
 epoch: 12, train_loss: 0.6501, test_loss: 1.2148, test_f1: 0.5897
 epoch: 13, train_loss: 0.6100, test_loss: 1.1178, test_f1: 0.5693
 epoch: 14, train_loss: 0.6179, test_loss: 1.1187, test_f1: 0.5392
 epoch: 15, train_loss: 0.5814, test_loss: 1.3700, test_f1: 0.5626
 epoch: 16, train_loss: 0.5683, test_loss: 1.5945, test_f1: 0.5467
 epoch: 17, train_loss: 0.5527, test_loss: 1.2664, test_f1: 0.5692
 epoch: 18, train_loss: 0.5259, test_loss: 1.5354, test_f1: 0.5086
 epoch: 19, train_loss: 0.5409, test_loss: 1.3050, test_f1: 0.5081
 epoch: 20, train_loss: 0.4636, test_loss: 1.3168, test_f1: 0.5564
 epoch: 21, train_loss: 0.4803, test_loss: 1.4366, test_f1: 0.5614
 epoch: 22, train_loss: 0.4761, test_loss: 1.4901, test_f1: 0.5579
 epoch: 23, train_loss: 0.4456, test_loss: 1.4764, test_f1: 0.5959
 epoch: 24, train_loss: 0.4486, test_loss: 1.5418, test_f1: 0.5552
 epoch: 25, train_loss: 0.4565, test_loss: 1.4119, test_f1: 0.5437
 epoch: 26, train_loss: 0.4102, test_loss: 1.2978, test_f1: 0.5668
 epoch: 27, train_loss: 0.3900, test_loss: 1.4413, test_f1: 0.5502
 epoch: 28, train_loss: 0.3655, test_loss: 1.8112, test_f1: 0.5185
 epoch: 29, train_loss: 0.3757, test_loss: 1.5456, test_f1: 0.5784
 epoch: 30, train_loss: 0.3685, test_loss: 1.6547, test_f1: 0.6489
 epoch: 31, train_loss: 0.3651, test_loss: 1.7611, test_f1: 0.5584
 epoch: 32, train_loss: 0.3633, test_loss: 1.7452, test_f1: 0.5807
 epoch: 33, train_loss: 0.3419, test_loss: 1.3247, test_f1: 0.6458
 epoch: 34, train_loss: 0.3152, test_loss: 1.5560, test_f1: 0.5967
 epoch: 35, train_loss: 0.3016, test_loss: 1.7990, test_f1: 0.6464
 epoch: 36, train_loss: 0.2892, test_loss: 2.0575, test_f1: 0.6296
 epoch: 37, train_loss: 0.3053, test_loss: 1.6626, test_f1: 0.6321
 epoch: 38, train_loss: 0.2819, test_loss: 2.0275, test_f1: 0.5633
 epoch: 39, train_loss: 0.2715, test_loss: 1.9339, test_f1: 0.6460
 epoch: 40, train_loss: 0.2411, test_loss: 1.8187, test_f1: 0.6138
 epoch: 41, train_loss: 0.3027, test_loss: 1.8484, test_f1: 0.5862
 epoch: 42, train_loss: 0.2284, test_loss: 1.7190, test_f1: 0.6438
 epoch: 43, train_loss: 0.2286, test_loss: 1.9746, test_f1: 0.5720
 epoch: 44, train_loss: 0.1930, test_loss: 1.9301, test_f1: 0.6445
 epoch: 45, train_loss: 0.1812, test_loss: 2.2549, test_f1: 0.6094
 epoch: 46, train_loss: 0.2294, test_loss: 1.8918, test_f1: 0.6002
 epoch: 47, train_loss: 0.2060, test_loss: 2.2344, test_f1: 0.6203
 epoch: 48, train_loss: 0.2059, test_loss: 1.7294, test_f1: 0.6729
 epoch: 49, train_loss: 0.2392, test_loss: 1.6513, test_f1: 0.6714
 epoch: 50, train_loss: 0.2172, test_loss: 1.9460, test_f1: 0.6457
 epoch: 51, train_loss: 0.1564, test_loss: 1.8316, test_f1: 0.6650
 epoch: 52, train_loss: 0.1260, test_loss: 2.1662, test_f1: 0.6457
 epoch: 53, train_loss: 0.1244, test_loss: 2.0231, test_f1: 0.6639
