STDOUT:
Results will be saved in /home/philip/projects/Circuit-Completion-Using-GNNs/component classification/evaluation/FEGIN/results/model_FEGIN_dataset_ltspice_demos
Command line input: python main.py --data ltspice_demos --representation component_pin --model FEGIN --layers 5 --hiddens 64 --batch_size 128 --lr 0.0001 --emb_size 512 --epochs 100 --save_appendix component_pin_L5_H64_BS128_LR0.0001_E512 --no_val
 is saved.
-----
ltspice_demos - FEGIN
Using 5 layers, 64 hidden units, h = 2
Loading component_pin representation dataset
dataset loaded 16 4 1948
ENTERED
Training FEGIN on component_pin representation
Train: 1565, Test: 383
##################ITERATION #0 ****************************************
 epoch: 0, train_loss: 1.4016, test_loss: 1.4004, test_f1: 0.1365
 epoch: 1, train_loss: 1.3922, test_loss: 1.3974, test_f1: 0.1365
 epoch: 2, train_loss: 1.3865, test_loss: 1.3938, test_f1: 0.1365
 epoch: 3, train_loss: 1.3812, test_loss: 1.3898, test_f1: 0.1365
 epoch: 4, train_loss: 1.3747, test_loss: 1.3840, test_f1: 0.1365
 epoch: 5, train_loss: 1.3673, test_loss: 1.3775, test_f1: 0.1365
 epoch: 6, train_loss: 1.3596, test_loss: 1.3702, test_f1: 0.1365
 epoch: 7, train_loss: 1.3494, test_loss: 1.3613, test_f1: 0.1365
 epoch: 8, train_loss: 1.3385, test_loss: 1.3534, test_f1: 0.1365
 epoch: 9, train_loss: 1.3260, test_loss: 1.3445, test_f1: 0.1368
 epoch: 10, train_loss: 1.3131, test_loss: 1.3349, test_f1: 0.2099
 epoch: 11, train_loss: 1.2968, test_loss: 1.3251, test_f1: 0.2974
 epoch: 12, train_loss: 1.2805, test_loss: 1.3123, test_f1: 0.3086
 epoch: 13, train_loss: 1.2626, test_loss: 1.2977, test_f1: 0.3181
 epoch: 14, train_loss: 1.2443, test_loss: 1.2853, test_f1: 0.3220
 epoch: 15, train_loss: 1.2261, test_loss: 1.2704, test_f1: 0.3363
 epoch: 16, train_loss: 1.2090, test_loss: 1.2548, test_f1: 0.3428
 epoch: 17, train_loss: 1.1975, test_loss: 1.2432, test_f1: 0.3371
 epoch: 18, train_loss: 1.1814, test_loss: 1.2304, test_f1: 0.3457
 epoch: 19, train_loss: 1.1710, test_loss: 1.2222, test_f1: 0.3512
 epoch: 20, train_loss: 1.1583, test_loss: 1.2087, test_f1: 0.3643
 epoch: 21, train_loss: 1.1476, test_loss: 1.2027, test_f1: 0.3722
 epoch: 22, train_loss: 1.1397, test_loss: 1.1953, test_f1: 0.4277
 epoch: 23, train_loss: 1.1324, test_loss: 1.1860, test_f1: 0.4278
 epoch: 24, train_loss: 1.1209, test_loss: 1.1876, test_f1: 0.4594
 epoch: 25, train_loss: 1.1142, test_loss: 1.1753, test_f1: 0.4345
 epoch: 26, train_loss: 1.1108, test_loss: 1.1692, test_f1: 0.4514
 epoch: 27, train_loss: 1.0982, test_loss: 1.1677, test_f1: 0.4630
 epoch: 28, train_loss: 1.0896, test_loss: 1.1586, test_f1: 0.4634
 epoch: 29, train_loss: 1.0812, test_loss: 1.1506, test_f1: 0.4659
 epoch: 30, train_loss: 1.0724, test_loss: 1.1428, test_f1: 0.4631
 epoch: 31, train_loss: 1.0678, test_loss: 1.1521, test_f1: 0.4684
 epoch: 32, train_loss: 1.0548, test_loss: 1.1360, test_f1: 0.4633
 epoch: 33, train_loss: 1.0485, test_loss: 1.1254, test_f1: 0.4659
 epoch: 34, train_loss: 1.0355, test_loss: 1.1240, test_f1: 0.4528
 epoch: 35, train_loss: 1.0286, test_loss: 1.1149, test_f1: 0.4482
 epoch: 36, train_loss: 1.0167, test_loss: 1.1109, test_f1: 0.4489
 epoch: 37, train_loss: 1.0095, test_loss: 1.1045, test_f1: 0.4283
 epoch: 38, train_loss: 1.0042, test_loss: 1.0998, test_f1: 0.4460
 epoch: 39, train_loss: 0.9897, test_loss: 1.0890, test_f1: 0.4337
 epoch: 40, train_loss: 0.9834, test_loss: 1.0782, test_f1: 0.4410
 epoch: 41, train_loss: 0.9702, test_loss: 1.0826, test_f1: 0.4435
 epoch: 42, train_loss: 0.9650, test_loss: 1.0659, test_f1: 0.4588
 epoch: 43, train_loss: 0.9502, test_loss: 1.0784, test_f1: 0.4590
 epoch: 44, train_loss: 0.9377, test_loss: 1.0645, test_f1: 0.4472
 epoch: 45, train_loss: 0.9406, test_loss: 1.0606, test_f1: 0.4595
 epoch: 46, train_loss: 0.9314, test_loss: 1.0641, test_f1: 0.4823
 epoch: 47, train_loss: 0.9198, test_loss: 1.0485, test_f1: 0.5020
 epoch: 48, train_loss: 0.9266, test_loss: 1.0588, test_f1: 0.4814
 epoch: 49, train_loss: 0.9148, test_loss: 1.0364, test_f1: 0.4892
 epoch: 50, train_loss: 0.9027, test_loss: 1.0449, test_f1: 0.5192
 epoch: 51, train_loss: 0.9063, test_loss: 1.0418, test_f1: 0.5005
 epoch: 52, train_loss: 0.8915, test_loss: 1.0413, test_f1: 0.5029
 epoch: 53, train_loss: 0.8940, test_loss: 1.0430, test_f1: 0.5008
 epoch: 54, train_loss: 0.8801, test_loss: 1.0503, test_f1: 0.4937
 epoch: 55, train_loss: 0.8799, test_loss: 1.0503, test_f1: 0.4901
 epoch: 56, train_loss: 0.8845, test_loss: 1.0409, test_f1: 0.5142
 epoch: 57, train_loss: 0.8749, test_loss: 1.0383, test_f1: 0.5246
 epoch: 58, train_loss: 0.8686, test_loss: 1.0333, test_f1: 0.5259
 epoch: 59, train_loss: 0.8662, test_loss: 1.0375, test_f1: 0.5223
 epoch: 60, train_loss: 0.8667, test_loss: 1.0260, test_f1: 0.5408
 epoch: 61, train_loss: 0.8580, test_loss: 1.0280, test_f1: 0.5317
 epoch: 62, train_loss: 0.8607, test_loss: 1.0388, test_f1: 0.5373
 epoch: 63, train_loss: 0.8505, test_loss: 1.0445, test_f1: 0.5098
 epoch: 64, train_loss: 0.8566, test_loss: 1.0393, test_f1: 0.5176
 epoch: 65, train_loss: 0.8410, test_loss: 1.0422, test_f1: 0.5083
 epoch: 66, train_loss: 0.8451, test_loss: 1.0328, test_f1: 0.5165
 epoch: 67, train_loss: 0.8513, test_loss: 1.0307, test_f1: 0.5275
 epoch: 68, train_loss: 0.8528, test_loss: 1.0464, test_f1: 0.5078
 epoch: 69, train_loss: 0.8357, test_loss: 1.0408, test_f1: 0.5218
 epoch: 70, train_loss: 0.8453, test_loss: 1.0433, test_f1: 0.4954
 epoch: 71, train_loss: 0.8343, test_loss: 1.0303, test_f1: 0.5085
 epoch: 72, train_loss: 0.8312, test_loss: 1.0501, test_f1: 0.5245
 epoch: 73, train_loss: 0.8396, test_loss: 1.0385, test_f1: 0.5145
 epoch: 74, train_loss: 0.8292, test_loss: 1.0331, test_f1: 0.5179
 epoch: 75, train_loss: 0.8220, test_loss: 1.0373, test_f1: 0.5273
 epoch: 76, train_loss: 0.8237, test_loss: 1.0375, test_f1: 0.5294
 epoch: 77, train_loss: 0.8157, test_loss: 1.0402, test_f1: 0.5279
 epoch: 78, train_loss: 0.8241, test_loss: 1.0435, test_f1: 0.5220
 epoch: 79, train_loss: 0.8169, test_loss: 1.0447, test_f1: 0.5190
 epoch: 80, train_loss: 0.8153, test_loss: 1.0493, test_f1: 0.5179
 epoch: 81, train_loss: 0.8122, test_loss: 1.0575, test_f1: 0.5158
 epoch: 82, train_loss: 0.8115, test_loss: 1.0696, test_f1: 0.5051
 epoch: 83, train_loss: 0.8114, test_loss: 1.0567, test_f1: 0.5247
 epoch: 84, train_loss: 0.8089, test_loss: 1.0400, test_f1: 0.5197
 epoch: 85, train_loss: 0.7972, test_loss: 1.0407, test_f1: 0.5192
 epoch: 86, train_loss: 0.8054, test_loss: 1.0541, test_f1: 0.5149
 epoch: 87, train_loss: 0.7995, test_loss: 1.0526, test_f1: 0.5171
 epoch: 88, train_loss: 0.7950, test_loss: 1.0562, test_f1: 0.5175
 epoch: 89, train_loss: 0.7909, test_loss: 1.0479, test_f1: 0.5382
 epoch: 90, train_loss: 0.7880, test_loss: 1.0497, test_f1: 0.5233
 epoch: 91, train_loss: 0.7887, test_loss: 1.0551, test_f1: 0.5024
 epoch: 92, train_loss: 0.7809, test_loss: 1.0730, test_f1: 0.5170
 epoch: 93, train_loss: 0.7960, test_loss: 1.0569, test_f1: 0.5159
 epoch: 94, train_loss: 0.7815, test_loss: 1.0541, test_f1: 0.5465
 epoch: 95, train_loss: 0.7813, test_loss: 1.0588, test_f1: 0.5294
 epoch: 96, train_loss: 0.7709, test_loss: 1.0491, test_f1: 0.5476
 epoch: 97, train_loss: 0.7733, test_loss: 1.0765, test_f1: 0.5332
 epoch: 98, train_loss: 0.7860, test_loss: 1.0740, test_f1: 0.5214
 epoch: 99, train_loss: 0.7714, test_loss: 1.0722, test_f1: 0.5210
##################ITERATION #1 ****************************************
 epoch: 0, train_loss: 1.3685, test_loss: 1.3790, test_f1: 0.1417
 epoch: 1, train_loss: 1.3418, test_loss: 1.3641, test_f1: 0.1365
 epoch: 2, train_loss: 1.3238, test_loss: 1.3526, test_f1: 0.1365
 epoch: 3, train_loss: 1.3060, test_loss: 1.3387, test_f1: 0.1377
 epoch: 4, train_loss: 1.2882, test_loss: 1.3239, test_f1: 0.1918
 epoch: 5, train_loss: 1.2688, test_loss: 1.3083, test_f1: 0.2857
 epoch: 6, train_loss: 1.2512, test_loss: 1.2959, test_f1: 0.2897
 epoch: 7, train_loss: 1.2333, test_loss: 1.2815, test_f1: 0.3160
