Spalte1;num_nodes;num_edges;average_shortest_path_length;density;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_component;num_nodes_pin;num_nodes_net;num_components_V;num_components_R;num_components_X;num_components_C
mean;56,15463918;67,1443299;4,551546392;0,052728744;1,091059576;3,070418521;3,084038141;10,84536082;33,57216495;11,7371134;1,572164948;4,355670103;1,278350515;3,639175258
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
# Global component class frequencies;;;;;;;;;;;;;;
component_type;count;relative_frequency_percent;;;;;;;;;;;;
R;845;40,16159696;;;;;;;;;;;;
C;706;33,55513308;;;;;;;;;;;;
V;305;14,49619772;;;;;;;;;;;;
X;248;11,78707224;;;;;;;;;;;;
