;num_nodes;num_edges;average_shortest_path_length;density;average_node_degree;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_component;num_nodes_net;num_components_V;num_components_R;num_components_X;num_components_C
;;;;;;;;;;;;;;
mean;18,90084034;25,04369748;2,956302521;0,184367912;2,615442521;1,242871222;0;2,56078486;8,697478992;10,20336134;2,255462185;3,509243697;1,213445378;1,719327731
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
# Global component class frequencies;;;;;;;;;;;;;;
component_type;count;relative_frequency_percent;;;;;;;;;;;;
;;;;;;;;;;;;;;
R;2088;40,34782609;;;;;;;;;;;;
;;;;;;;;;;;;;;
V;1342;25,93236715;;;;;;;;;;;;
;;;;;;;;;;;;;;
C;1023;19,76811594;;;;;;;;;;;;
;;;;;;;;;;;;;;
X;722;13,95169082;;;;;;;;;;;;
