file,ground_truth,removed_line
1001_missing_Resistor.net,Resistor,R3 N005 N001 10K
1001A_missing_Diode.net,Diode,D1 N002 N004 1N4148
1001S8_missing_Diode.net,Diode,D1 N002 N004 1N4148
1002_missing_Resistor.net,Resistor,R4 N002 N003 10K
1002A_missing_Resistor.net,Resistor,R5 OUT N002 100K
1004-1.2_missing_Subcircuit.net,Subcircuit,XU1 OUT 0 LT1004-1.2
1004-2.5_missing_Subcircuit.net,Subcircuit,XU1 OUT 0 LT1004-2.5
1006_missing_Resistor.net,Resistor,R2 N001 0 1K
1006A_missing_Subcircuit.net,Subcircuit,XU1 IN N001 +V 0 OUT LT1006
1006S8_missing_Resistor.net,Resistor,R1 OUT N001 99K
1007_missing_Resistor.net,Resistor,R2 N001 0 365
1007A_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 1m .01)
1007CS_missing_Subcircuit.net,Subcircuit,XU1 IN N001 +V -V OUT LT1007
1008_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1009_missing_Resistor.net,Resistor,R3 N002 0 {10K*x}
100W_missing_Capacitor.net,Capacitor,C4 +V N007 47µ
1010_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1011_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1012_missing_Resistor.net,Resistor,R5 N003 IN+ 100Meg
1012A_missing_Resistor.net,Resistor,R5 N003 IN+ 100Meg
1012D_missing_Resistor.net,Resistor,R3 0 N002 100
1012S8_missing_Resistor.net,Resistor,R6 N005 0 10Meg
1013_missing_Resistor.net,Resistor,R2 N001 0 5K
1013A_missing_Subcircuit.net,Subcircuit,XU1 N003 N001 +V -V N002 LT1013
1013D_missing_Resistor.net,Resistor,R1 N002 N001 50K
1014_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1014A_missing_Subcircuit.net,Subcircuit,XU3 IN- N003 +V -V N001 LT1013
1014D_missing_Subcircuit.net,Subcircuit,XU2 N004 N002 +V -V OUT LT1013
1015_missing_Resistor.net,Resistor,R2 N002 0 10K
1016_missing_Resistor.net,Resistor,R3 +V N003 4K
1017_missing_Resistor.net,Resistor,R1 N002 0 100K
1018_missing_Resistor.net,Resistor,R2 N009 0 10K
101A_missing_Capacitor.net,Capacitor,C3 OUT2 N005 300p
1021-10_missing_Subcircuit.net,Subcircuit,XU1 IN 0 OUT N001 LT1021-10
1021-5_missing_Resistor.net,Resistor,R3 N002 0 {50K*x}
1021-7_missing_VoltageSource.net,VoltageSource,V1 IN 0 12
1022_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1022A_missing_Resistor.net,Resistor,R5 OUT N003 10K
1024_missing_Resistor.net,Resistor,R4 N002 N001 2.2K
1024A_missing_Subcircuit.net,Subcircuit,XU2 IN+ N002 +V -V OUT LT1012
1026_missing_Capacitor.net,Capacitor,C2 N003 N004 1µ
1028_missing_Resistor.net,Resistor,R1 OUT N001 10K
1028A_missing_Capacitor.net,Capacitor,C2 OUT N002 .33µ
1028CS_missing_Capacitor.net,Capacitor,C2 OUT N002 .33µ
1037_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 1m 1)
1037A_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1037CS_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1040_missing_VoltageSource.net,VoltageSource,VTemp Temp 0 PWL(0 26 200 28 400 26)
1041_missing_Capacitor.net,Capacitor,C1 N006 0 .001µ
1042_missing_Resistor.net,Resistor,R3 N001 N003 100K
1043_missing_Resistor.net,Resistor,R2 N001 N003 10K
1044_missing_Capacitor.net,Capacitor,C1 0 N004 100p
1044A_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1046_missing_Capacitor.net,Capacitor,C5 OUT 0 10µ
1047_missing_Subcircuit.net,Subcircuit,XU2 N002 OUT +V 0 OUT LTC1047
1049_missing_VoltageSource.net,VoltageSource,V3 IN- IN+ SINE(-25m 5m 100)
1050_missing_Subcircuit.net,Subcircuit,XU3 N006 0 NC_01 LT1009
1050A_missing_Capacitor.net,Capacitor,C2 N003 N005 22p
1051_missing_Subcircuit.net,Subcircuit,XU2 IN+ N003 +V -V OUT LTC1051
1051A_missing_Subcircuit.net,Subcircuit,XU2 IN+ N003 +V -V OUT LTC1051
1052_missing_Resistor.net,Resistor,R3 -V N008 100
1052CS_missing_Capacitor.net,Capacitor,C4 0 N009 .1µ
1053_missing_Subcircuit.net,Subcircuit,XU2 IN+ N003 +V -V OUT LTC1052
1054_missing_VoltageSource.net,VoltageSource,V1 IN 0 10
1054L_missing_Resistor.net,Resistor,Rload OUT 0 50
1055_missing_Diode.net,Diode,D3 N003 N008 1N4148
1055A_missing_BJT.net,BJT,Q1 -V N009 N005 0 2N3906
1055S8_missing_Capacitor.net,Capacitor,C3 N005 0 .1µ
1056_missing_Diode.net,Diode,D7 N002 N001 1N4148
1056A_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1056S8_missing_Resistor.net,Resistor,R5 N005 IN 75K
