file,ground_truth,removed_line
0_missing_MOSFET.net,MOSFET,M1 1 2 0 0 NMOS W=1u L=1u
1_missing_VoltageSource.net,VoltageSource,V1 0 2 5V
10_missing_MOSFET.net,MOSFET,M1 2 3 0 0 NMOS W=1u L=1u
100_missing_MOSFET.net,MOSFET,M1 VDD 4 2 2 NMOS W=1u L=1u
101_missing_MOSFET.net,MOSFET,M1 VDD 0 1 1 NMOS W=1u L=1u
102_missing_MOSFET.net,MOSFET,M1 VDD 0 3 3 NMOS W=1u L=1u
103_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
104_missing_MOSFET.net,MOSFET,M2 1 2 0 0 NMOS W=1u L=1u
105_missing_MOSFET.net,MOSFET,M1 VDD 4 1 1 NMOS W=1u L=1u
106_missing_MOSFET.net,MOSFET,M2 0 4 2 2 PMOS W=1u L=1u
107_missing_MOSFET.net,MOSFET,M3 3 1 0 0 NMOS W=1u L=1u
108_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
109_missing_Resistor.net,Resistor,R1 1 VDD 1k
11_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
110_missing_MOSFET.net,MOSFET,M2 1 1 VDD VDD PMOS W=1u L=1u
111_missing_Capacitor.net,Capacitor,C1 0 4 1nF
112_missing_MOSFET.net,MOSFET,M1 2 1 4 4 NMOS W=1u L=1u
113_missing_Capacitor.net,Capacitor,C1 5 2 1nF
114_missing_Resistor.net,Resistor,R2 4 2 1k
115_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
116_missing_Resistor.net,Resistor,R1 0 1 1k
117_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
118_missing_MOSFET.net,MOSFET,M1 2 1 5 5 NMOS W=1u L=1u
12_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
120_missing_CurrentSource.net,CurrentSource,I1 VDD 2 DC 1mA
121_missing_Resistor.net,Resistor,R2 4 3 1k
122_missing_MOSFET.net,MOSFET,M1 1 2 4 4 NMOS W=1u L=1u
123_missing_Resistor.net,Resistor,R2 2 1 1k
124_missing_MOSFET.net,MOSFET,M1 2 1 4 4 NMOS W=1u L=1u
125_missing_Resistor.net,Resistor,R2 3 VDD 1k
126_missing_MOSFET.net,MOSFET,M1 2 1 5 5 NMOS W=1u L=1u
127_missing_MOSFET.net,MOSFET,M2 5 4 0 0 NMOS W=1u L=1u
128_missing_Resistor.net,Resistor,R1 2 VDD 1k
129_missing_Resistor.net,Resistor,R1 1 VDD 1k
13_missing_MOSFET.net,MOSFET,M1 3 6 1 1 NMOS W=1u L=1u
130_missing_MOSFET.net,MOSFET,M1 2 1 5 5 NMOS W=1u L=1u
131_missing_MOSFET.net,MOSFET,M2 3 5 0 0 NMOS W=1u L=1u
132_missing_MOSFET.net,MOSFET,M1 1 0 2 2 NMOS W=1u L=1u
133_missing_MOSFET.net,MOSFET,M1 1 0 2 2 NMOS W=1u L=1u
134_missing_MOSFET.net,MOSFET,M2 5 4 0 0 NMOS W=1u L=1u
135_missing_CurrentSource.net,CurrentSource,I1 VDD 2 DC 1mA
136_missing_Resistor.net,Resistor,R2 4 2 1k
138_missing_MOSFET.net,MOSFET,M2 5 1 2 2 NMOS W=1u L=1u
139_missing_MOSFET.net,MOSFET,M2 4 2 0 0 NMOS W=1u L=1u
14_missing_Capacitor.net,Capacitor,C4 2 3 1nF
140_missing_MOSFET.net,MOSFET,M2 5 4 VDD VDD PMOS W=1u L=1u
141_missing_Resistor.net,Resistor,R1 1 VDD 1k
142_missing_CurrentSource.net,CurrentSource,I1 VDD 1 DC 1mA
143_missing_MOSFET.net,MOSFET,M1 5 2 3 3 NMOS W=1u L=1u
144_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
145_missing_MOSFET.net,MOSFET,M3 3 2 8 8 PMOS W=1u L=1u
146_missing_Resistor.net,Resistor,R1 2 VDD 1k
147_missing_Resistor.net,Resistor,R1 1 VDD 1k
148_missing_Resistor.net,Resistor,R1 1 VDD 1k
149_missing_Resistor.net,Resistor,R1 4 VDD 1k
15_missing_MOSFET.net,MOSFET,M1 3 5 1 1 NMOS W=1u L=1u
150_missing_Resistor.net,Resistor,R2 2 1 1k
