file,ground_truth,removed_line
100_missing_MOSFET.net,MOSFET,M0 (IOUT1 net4 VSS VSS) nmos4
1000_missing_MOSFET.net,MOSFET,M9 (VOUT1 net17 net36 VDD) pmos4
1001_missing_Capacitor.net,Capacitor,C3 (net50 net40) capacitor
1001_full_missing_Capacitor.net,Capacitor,C3 (net50 net40) capacitor
1002_missing_Resistor.net,Resistor,R1 (net17 net9) resistor
1003_missing_MOSFET.net,MOSFET,M13 (VOUT1 net25 VSS VSS) nmos4
1004_missing_MOSFET.net,MOSFET,M7 (net26 VIN2 net22 VSS) nmos4
1005_missing_MOSFET.net,MOSFET,M8 (VOUT1 net62 net88 VSS) nmos4
1006_missing_MOSFET.net,MOSFET,M5 (net40 VB2 net11 VDD) pmos4
1007_missing_MOSFET.net,MOSFET,M20 (net211 VB3 VSS VSS) nmos4
1008_missing_Resistor.net,Resistor,R0 (net55 net38) resistor
1009_missing_Capacitor.net,Capacitor,C0 (VOUT1 net32) capacitor
1010_missing_MOSFET.net,MOSFET,M2 (net31 VB1 VDD VDD) pmos4
1011_missing_MOSFET.net,MOSFET,M8 (net75 VB4 net98 VSS) nmos4
1012_missing_MOSFET.net,MOSFET,M11 (net77 net77 VSS VSS) nmos4
1012_full_missing_CurrentSource.net,CurrentSource,I1 (net76 VCM1 VCLK2 VDD VSS) TRANSMISSION_GATE
1013_missing_MOSFET.net,MOSFET,M6 (VOUT1 net35 net40 VDD) pmos4
1014_missing_MOSFET.net,MOSFET,M2 (VOUT2 net11 VDD VDD) pmos4
1015_missing_MOSFET.net,MOSFET,M0 (net2 net35 VDD VDD) pmos4
1016_missing_MOSFET.net,MOSFET,M10 (net19 VIN1 net49 VSS) nmos4
1017_missing_Capacitor.net,Capacitor,C0 (VOUT1 VSS) capacitor
1018_missing_MOSFET.net,MOSFET,M3 (net30 VIN2 net15 VDD) pmos4
1019_missing_MOSFET.net,MOSFET,M7 (net28 VIN2 net11 VDD) nmos4
102_missing_MOSFET.net,MOSFET,M3 (net05 net05 VDD VDD) pmos4
1020_missing_MOSFET.net,MOSFET,M5 (VOUT4 VIN2 IB1 VDD) pmos4
1021_missing_MOSFET.net,MOSFET,M1 (VSS VDD IOUT1 IIN1) pmos4
